xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
-923,800,-617,72448,-94543,-34729,-9191,29431,23803,17104,56345
-3975,511,-781,-163635,88134,97534,-12109,33703,10302,17104,57513
-46,-1541,-81,-287719,73059,115905,-13732,20373,18786,17104,57513
-3999,-616,-101,82885,24780,78430,-8886,12561,27282,17104,57513
721,-1744,-1542,-64514,212341,-7995,-3735,20935,23156,17104,57513
740,1053,-2225,41625,-177795,116394,-15380,24194,18017,17104,56252
-899,-1508,548,89904,-10864,57617,-13891,26635,15832,17068,57478
-735,-666,-823,143798,15502,104125,-15356,19006,21423,17068,57478
787,1153,-430,-1586,8300,-45532,-2172,19543,25744,17068,57478
701,-70,-170,-353698,225830,34484,-9570,38110,10949,17068,57571
-4,-1136,364,178588,-138916,-115783,-20214,24304,16064,17068,57571
-2202,190,-160,104858,-153564,-98571,-9948,33996,15417,17050,56227
-700,-499,-560,-9582,117309,166015,-5224,6909,23583,17050,56227
72,-266,3486,-209472,288269,77087,-12219,14587,19152,17050,56227
-1002,-1157,-3827,173400,-26489,18676,-18298,27954,12805,17050,56227
166,-1134,165,226806,-24047,76049,-18127,28588,5834,17050,56227
129,-1945,133,218322,605407,-75256,-13085,25830,21533,17050,56227
-2781,922,-19,-12145,53039,10864,-15795,15429,17004,17050,56227
-2389,-1012,-2341,148254,164672,-27954,-17004,20544,9973,17050,56227
-2871,391,-1284,232482,-63537,41870,-16235,13916,1501,17050,57318
-2507,-2010,457,323669,93872,-95581,-16833,17138,-12304,17050,57318
-448,78,794,-278015,13244,118652,-12915,12011,7373,17050,56207
724,268,-883,-97045,14587,77087,-16308,16491,7409,17050,56207
-3933,726,-250,-19287,382995,-36132,-10815,8728,5615,17050,57350
-11,580,685,-86364,-91430,22705,-16430,8813,-10766,17032,57350
-810,-386,-2400,-190002,-121398,-110351,-13183,15588,-4980,17032,57350
27,148,142,28076,-67932,69152,-13867,8471,-3125,17032,57350
-1215,-411,3999,-380126,103027,168701,-17602,10827,-4003,17032,57350
-341,646,-321,84594,-106750,81970,-15673,17468,-8581,17032,57350
-741,-1379,-377,-377136,-9155,80749,-12683,2307,-14367,17032,57350
878,-3,-2435,95703,-231567,-39123,-10803,4882,-8081,17032,57350
-1382,-118,-2413,41198,421081,-67749,-15136,3417,-5517,17032,57350
-789,-350,-33,66650,43579,59875,-9716,4833,-5981,17032,57350
3439,1347,-1832,-54260,236633,70129,-17175,3112,-6848,17032,57350
-2201,-3109,-890,-280700,-182800,152526,-9545,14758,-10937,17032,57350
271,-1233,3999,-68664,-87463,85937,-9411,6506,-7543,17032,57350
-396,1325,819,-293579,38208,134643,-14624,3259,903,17032,55499
740,-343,669,38024,60607,-3906,-11962,14660,-4333,17032,56875
97,-449,-2098,39611,-49682,238403,-14428,9350,-11157,17032,56875
-2072,-1177,1203,223022,-49621,-94421,-8398,11328,-10571,16978,56875
-3999,-103,-783,-171569,64025,62194,-12609,939,-5834,16978,56875
-3999,571,-24,-182128,-62988,-20690,-12609,476,-805,16978,56875
-3999,-134,284,-30883,-26428,102294,-10534,10913,-4187,16978,56875
-214,-554,33,55175,-73242,-208129,-13745,6176,-4687,16978,56875
-3999,-109,3227,124816,64941,77514,-12280,12988,-5871,16978,56875
1140,888,558,-36193,-55053,93994,-16931,5505,-3161,16978,56875
-2110,625,404,50781,102905,-52734,-17248,18627,-1281,16978,56875
88,-426,-532,111755,45349,-165161,-19152,18896,-5114,16978,55834
-746,-673,865,-44006,231628,-118469,-16345,25451,-15466,16978,55834
-3002,1116,-892,203735,76354,19958,-12768,19628,-9277,16960,55834
-673,-1613,1031,-12390,-71899,-101318,-427,23120,-6225,16960,55834
-2219,1605,-322,185241,109619,134765,-12158,21032,-12658,16960,55834
-299,-336,471,117187,15991,-144042,-15686,36145,-18566,16960,57459
-727,1183,286,75378,-60424,122253,-16259,34094,-19812,16960,57459
1040,-308,-1194,26000,-8361,17395,-17456,31018,-1196,16942,56437
-1144,521,86,-158142,12939,-7019,-12646,43298,-8422,16906,56437
-628,-288,-1191,60607,334411,-122985,-11291,24377,-29565,16906,56437
-2088,-607,791,281311,-60363,68115,-12512,34790,-21435,16906,56437
-1697,46,-1344,-32287,-72021,2502,-15979,33166,-6970,16906,56437
-522,20,1387,-93811,281127,63110,-12182,33618,-11584,16906,56437
285,771,333,-245300,-161987,-229492,-5468,33618,-14123,16906,56437
-1343,186,-89,19897,-3540,84960,-8911,30883,-16735,16906,56437
-1027,729,497,280822,-80383,93811,-8386,35192,-14233,16906,56437
1411,604,524,-86975,66162,-69274,-7946,32678,-12048,16906,56437
-2217,506,249,452575,-14587,-278259,-7470,38574,-8984,16906,55135
5,712,-774,-215209,70190,-201782,-9875,37487,-23522,16906,56587
-836,807,1923,273071,-85998,95153,-10754,40502,-18151,16834,56587
-3999,-1224,-1517,51147,-296325,-66833,-16687,42919,-561,16852,56587
-1853,1203,1188,-119445,-55786,100646,-17761,37597,-7250,16852,56587
-2692,1103,203,-119018,4272,-101440,-9448,43676,-15441,16852,56587
-2673,-608,-230,54687,-41076,91735,-12219,45520,2685,16852,56587
-3999,-838,946,152648,-138305,-57067,-15307,42626,8557,16852,56587
709,987,-555,51208,106140,167053,-16613,39501,6896,16852,56587
-1889,-65,703,-122497,75073,-61950,-8752,52880,-18847,16852,56587
-438,238,-1292,159606,73913,148681,-7128,43554,-4113,16852,56587
-412,-427,-635,165588,-171569,106628,-12097,52368,14514,16852,56587
-1863,973,-1045,146179,-41748,-44250,-9875,42224,12402,16852,56587
782,-264,389,-44128,98754,32226,-12341,44970,-8337,16852,56587
-3476,238,186,-346191,-208435,-83923,-9875,55541,-15136,16852,56587
-15,749,-1021,345031,-171630,-70861,-11889,50805,9875,16852,56587
-368,341,-2366,191772,-274780,-2685,-14404,48706,21130,16852,56587
1313,1601,-2805,-20935,32592,-72204,-14794,35925,12426,16852,56587
-2524,-888,285,-284545,320495,46142,-11523,53283,-9265,16852,56405
-3120,-691,-765,39123,-236206,162536,-12719,42272,2197,16762,56405
-2107,-21,1369,132995,600891,-49743,-13208,46948,13696,16780,56405
86,998,-1347,30273,109741,-68176,-14111,33081,9045,16780,56405
1562,2115,143,25695,24963,65124,-13684,44921,-9179,16780,55023
-2354,-2212,-226,-298584,-136657,58715,-15112,47802,-3295,16780,56447
392,-255,1125,170104,-139953,-86853,-11914,47045,17309,16743,56447
-2590,10,-686,-27587,218322,88684,-12377,39013,12976,16725,56447
-1926,-179,1031,-249450,69824,-10986,-12097,40625,8911,16725,56447
1964,1094,-208,-213684,49377,124511,-13500,47924,-4614,16725,56447
-2533,-2538,-623,211486,-61096,-114440,-11914,45458,8801,16725,56447
-3049,1096,-2660,77453,-143554,-81054,-13769,44055,17199,16725,56447
