xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
129,269,913,-2258,1281,-1586,27319,37170,-11657,36599,25444
135,270,923,-3295,1586,-2258,27075,37194,-12072,36599,25444
136,274,920,-1403,1342,-2685,27099,37683,-11743,36599,25444
136,284,922,-305,1037,-1586,26733,37231,-10778,36599,25444
134,265,916,-793,1220,-854,26831,37414,-11389,36599,25444
133,276,920,-2746,671,-183,27026,37182,-9777,36599,25444
134,276,917,-366,1525,-61,27050,36291,-11608,36599,25444
138,278,934,5310,2380,976,27282,36206,-12268,36599,25444
132,277,915,-549,1892,3051,27734,36352,-12280,36599,25444
132,293,931,-2441,793,3540,28051,35937,-10888,36599,25444
132,276,926,-2746,1892,1831,28479,36083,-11328,36599,25444
132,259,927,-2136,3845,3662,28637,35925,-10729,36599,25444
123,278,937,-366,2563,5126,28015,36108,-10693,36599,25444
118,301,928,-3417,1647,-1037,28515,36328,-11767,36599,25444
131,304,930,-2014,854,-1220,27868,36694,-11230,36599,25444
128,253,933,-1831,671,915,28088,36352,-11267,36599,25444
130,240,922,-3356,1464,-915,28076,36718,-11474,36599,25444
120,252,923,-3295,1098,-1159,27990,36413,-11511,36599,25444
114,260,931,793,1464,-366,28356,36181,-12084,36599,25444
96,263,925,-427,1464,-2075,27673,36047,-11425,36599,25444
117,256,930,-5676,1403,-61,28137,36181,-10815,36599,25444
121,279,929,3295,915,-1342,27416,36242,-11401,36599,25444
120,266,939,-2624,4089,-3662,28002,37219,-11804,36599,25444
120,273,912,-2929,1342,-2258,27600,36132,-11401,36599,25444
113,272,931,305,-610,-2746,27319,36511,-11706,36599,25444
132,280,922,-305,7995,-1403,27380,36047,-12500,36599,25444
103,229,931,-2990,976,2014,27148,36132,-12353,36599,25444
115,267,933,-793,-1953,2014,27819,35571,-11242,36599,25444
144,316,925,-1586,61,-305,27819,35827,-11364,36599,25444
126,239,927,-1159,2990,183,27978,36706,-10766,36599,25444
119,268,927,-2014,2136,1220,27868,36120,-10986,36599,25444
103,275,932,-1403,2502,61,27429,36437,-11547,36599,25444
99,256,923,-1403,1342,-1403,27832,36791,-12243,36599,25444
101,248,929,-1464,2075,-610,27685,37072,-11450,36599,25444
109,257,929,-1464,1586,-732,27307,36743,-12219,36599,25444
104,272,929,-1464,1831,-610,27368,36083,-11474,36599,25444
106,267,926,-1647,1525,-732,27490,36340,-11791,36599,25444
106,285,927,-1525,1831,-427,27307,36535,-11901,36599,25444
108,271,927,-1586,1586,-549,27478,36560,-11303,36599,25444
107,276,925,-1770,1831,-549,28076,36181,-12194,36599,25444
103,274,926,-2014,1892,-488,28002,36132,-11401,36599,25444
108,272,925,-1647,1953,-610,28283,36071,-11230,36599,25444
108,272,927,-1586,1831,-549,28405,36596,-11877,36599,25444
106,273,926,-1647,1708,-610,27783,36218,-12292,36599,25444
109,274,926,-1525,1770,-244,27954,36059,-11999,36599,25444
110,271,926,-1403,1525,-427,28222,36303,-12316,36599,25444
110,271,927,-1159,1892,-427,27966,36523,-11669,36599,25444
112,271,926,-1342,1708,-366,27697,36108,-11303,36599,25444
109,272,926,-1464,1770,-610,27868,35876,-10656,36599,25444
112,273,925,-2014,1647,-793,28063,36730,-11865,36599,25444
109,271,927,-1831,1586,-244,27758,35754,-11181,36599,25444
112,272,928,-1647,1953,-732,28198,36437,-12585,36599,25444
106,278,927,-1586,1892,-366,27490,36315,-12377,36599,25444
110,267,925,-1770,1708,-366,27185,35888,-11743,36599,25444
111,270,927,-1647,1647,-305,27722,36108,-11901,36599,25444
113,272,925,-1647,1770,-366,28137,36621,-10974,36599,25444
113,271,927,-1647,1831,-732,27893,36376,-12976,36599,25444
110,271,927,-1586,1464,-366,28002,36132,-10961,36599,25444
112,270,926,-1464,1708,-488,27734,36145,-12170,36599,25444
110,275,926,-1708,1464,-549,27697,36267,-11364,36599,25444
112,270,925,-1525,1831,-305,27514,36608,-10302,36599,25444
114,269,926,-1647,1708,-427,27673,36218,-10632,36599,25444
109,273,927,-1647,1892,-305,27856,35998,-11022,36599,25444
110,272,926,-1831,1708,-488,27856,36499,-10998,36599,25444
111,272,925,-2014,1953,-427,27465,36279,-11791,36599,25444
112,269,928,-1464,1770,-549,27770,36083,-11669,36599,25444
109,268,926,-1708,1647,-305,27746,35498,-10705,36599,25444
114,273,925,-1464,1647,-305,27636,36242,-10327,36599,25444
111,271,927,-2014,1708,-671,27392,35864,-11303,36599,25444
113,272,926,-1831,2075,-488,27880,36303,-11291,36599,25444
114,271,926,-1464,1708,-488,28100,36328,-10888,36599,25444
109,272,925,-1586,1525,-488,27551,36157,-10900,36599,25444
111,271,926,-1708,1647,-244,27905,36230,-10595,36599,25444
113,273,925,-1464,1831,-732,27673,36291,-11267,36599,25444
112,269,926,-1953,1770,-610,27758,35888,-11254,36599,25444
112,273,926,-1770,1525,-427,27624,36193,-12438,36599,25444
112,270,926,-2014,1647,-488,27404,36120,-11584,36599,25444
113,269,927,-1708,1892,-427,27844,35888,-11206,36599,25444
113,271,926,-1708,1892,-488,27697,36120,-11218,36599,25444
108,272,926,-2197,1892,-366,27526,35754,-12719,36599,25444
113,274,924,-1708,1647,-610,28088,35925,-10607,36599,25444
113,273,924,-1647,1831,-671,27270,36206,-12316,36599,25444
114,272,925,-1220,1586,-671,27673,35852,-11950,36599,25444
113,269,925,-1647,1220,-488,27697,36022,-12402,36599,25444
114,273,926,-1464,1831,-488,27795,36022,-11401,36599,25444
109,275,924,-1770,1831,-610,27758,36218,-11730,36599,25444
109,277,924,-1708,2136,-549,27600,36059,-12500,36599,25444
109,274,923,-1708,1831,-671,27966,36230,-10998,36599,25444
109,274,923,-1892,1770,-488,27624,36035,-11096,36599,25444
113,273,924,-1831,1770,-732,27685,35815,-11511,36599,25444
113,273,924,-1708,1708,-488,27880,36633,-11975,36599,25444
112,271,923,-1953,1892,-732,28491,36511,-11376,36599,25444
110,275,923,-1647,1525,-549,27783,36450,-11230,36599,25444
109,272,922,-1892,1464,-488,27783,36279,-11352,36599,25444
113,274,923,-1586,1892,-610,27734,35986,-11206,36599,25444
112,274,925,-1525,1708,-610,27722,35717,-12390,36599,25444
110,274,925,-1770,1770,-305,28210,36206,-12573,36599,25444
109,274,924,-1831,1708,-549,27551,36083,-12316,36599,25444
111,275,924,-1586,1708,-427,28039,35852,-12561,36599,25444
111,273,923,-1892,1770,-610,28051,35656,-11279,36599,25444
112,273,922,-1770,1525,-61,27209,35681,-10717,36599,25444
114,273,926,-1647,1831,-549,27941,35937,-12023,36599,25444
114,276,923,-1770,1586,-549,27575,36035,-10998,36599,25444
108,274,923,-1708,1525,-549,27795,36230,-10693,36599,25444
110,274,923,-1831,1464,-488,27416,36254,-11950,36599,25444
112,275,923,-1281,1647,-427,27954,36291,-11193,36599,25444
113,273,923,-1708,1770,-244,27783,35839,-11279,36599,25444
113,272,922,-1525,1525,-732,27465,36083,-10534,36599,25444
112,273,925,-1953,1586,-549,27502,36413,-12170,36599,25444
114,273,924,-2014,1525,-671,27697,35827,-10900,36599,25444
112,273,926,-1464,1770,-671,27783,35644,-12097,36599,25444
112,276,925,-1892,1831,-732,27319,36425,-11462,36599,25444
112,275,924,-1403,1770,-366,27844,35937,-9912,36599,25444
111,276,924,-1770,1831,-549,27575,36035,-11669,36599,25444
111,276,922,-1525,1708,-366,27502,36584,-10693,36599,25444
113,277,924,-1708,1525,-427,27331,36462,-10607,36599,25444
114,273,923,-1892,1770,-488,28271,36206,-11254,36599,25444
112,273,926,-1525,1647,-671,27783,36218,-11401,36599,25444
112,277,925,-1892,1770,-610,27929,36022,-11279,36599,25444
114,273,925,-1831,1770,-549,27673,35876,-11523,36599,25444
113,274,922,-2685,1647,-793,28210,35729,-11328,36599,25444
112,273,924,-2929,1708,-610,27636,35998,-11047,36599,25444
113,273,923,-3051,1525,-610,27624,36181,-11437,36599,25444
114,274,922,-1159,1770,-427,27563,36291,-11474,36599,25444
110,276,922,-1892,1831,-732,27026,35949,-11450,36599,25444
111,277,922,-4760,1647,-305,27905,36022,-12634,36599,25444
109,277,932,-4638,2014,-488,27563,34899,-11291,36599,25444
112,281,925,2563,1159,-488,26696,34606,-12194,36599,25444
113,270,917,-4516,2746,-305,27441,34423,-12207,36599,25444
116,269,922,-2258,1708,-305,27465,34082,-10888,36599,25444
104,277,916,7446,2075,-427,27844,34313,-12060,36599,25444
128,285,890,2441,0,1953,27612,34875,-11743,36599,25444
106,288,911,2868,-366,2746,27990,34667,-11437,36599,25444
113,275,903,-3356,3601,2075,27917,35742,-11816,36599,25444
119,292,902,-793,-366,-1403,28002,35559,-11267,36599,25444
98,388,911,1098,1647,-976,27990,35473,-10656,36599,25444
97,317,906,-610,2746,549,27416,35900,-11291,36599,25444
92,374,922,915,2197,-2197,25268,35278,-11840,36599,25444
115,371,924,-4943,1831,-61,28088,36010,-11486,36599,25444
62,303,918,3601,3662,-5737,28332,36645,-11193,36599,25444
77,337,911,-5126,3662,2624,27758,36254,-11645,36599,25444
130,322,920,-5615,2990,-4272,28100,36718,-11584,36599,25444
135,313,935,-5310,3356,244,27709,36511,-11865,36599,25444
112,335,918,-1647,2197,1281,27893,37194,-11010,36599,25444
121,267,944,1281,2868,-183,27856,37683,-11547,36599,25444
122,297,943,4211,1647,854,27697,37438,-9655,36599,25444
106,250,926,2746,2502,-1098,28063,37414,-9680,36599,25444
129,278,919,3112,3479,-1647,28442,38500,-10632,36599,25444
112,242,886,-244,10437,-5798,27709,38671,-11022,36599,25444
123,251,876,3723,7324,-4577,28051,38293,-11401,36599,25444
159,251,952,-1159,-1403,-4943,27050,38085,-10729,36599,25444
204,310,962,-5249,-5004,-793,26611,37939,-11193,36599,25444
208,229,1004,-732,-1342,-671,27014,37915,-10070,36599,25444
141,214,1001,-732,4882,7690,26989,37573,-10815,36599,25444
227,272,985,-732,1464,-5371,26708,37536,-11694,36599,25444
20,86,927,1708,4394,-1647,27368,38208,-11877,36599,25444
96,258,950,-9155,-1708,2319,27258,38134,-11584,36599,25444
160,132,943,-5371,915,-366,27600,37915,-11645,36599,25444
116,272,931,-4272,1525,-1037,27172,37731,-10461,36599,25444
133,117,940,-2990,3112,488,27099,37133,-12243,36599,25444
121,206,936,-2258,976,61,27661,37341,-11193,36599,25444
124,211,955,-3540,2624,-1037,27282,37646,-12438,36599,25444
127,208,946,1770,2990,-427,27331,37609,-12719,36599,25444
117,181,941,-366,-122,2746,27478,36962,-11853,36599,25444
131,171,939,-2502,1403,-671,27307,37561,-11791,36599,25444
125,155,939,-2441,671,-61,27148,37817,-11145,36599,25444
124,206,937,-1281,1708,671,27111,37536,-11437,36599,25444
107,210,938,-671,183,-610,26770,38037,-11706,36599,25444
118,233,936,-2868,1159,1647,26806,38537,-12377,36599,25444
101,236,934,305,1892,305,26770,37902,-11218,36599,25444
107,242,942,-183,1770,-305,27160,38513,-12634,36599,25444
98,234,939,-5371,1892,-1037,27001,38391,-10473,36599,25444
110,232,940,-2014,1708,-305,27343,37329,-11950,36599,25444
103,230,945,-2380,1220,-183,27209,38427,-12097,36599,25444
103,216,934,-1770,1892,183,27465,38464,-12426,36599,25444
101,227,941,-1281,2685,-2807,27587,38232,-11718,36599,25444
97,224,926,-976,3295,0,27429,38037,-10656,36599,25444
97,219,930,-488,2136,-549,27478,38354,-12609,36599,25444
107,202,940,-549,1098,1159,27624,38098,-10998,36599,25444
108,204,944,-1464,1953,-1831,27880,37878,-11938,36599,25444
97,213,939,-1464,3112,-305,27551,37622,-11840,36599,25444
106,235,938,-1770,1342,122,27832,36779,-10363,36599,25444
95,244,942,-1892,1708,-1647,28149,36987,-11865,36599,25444
97,235,938,-2746,1464,-732,28247,36999,-10864,36599,25444
102,232,941,-1220,1831,-732,28491,37036,-11047,36599,25444
107,233,942,-1342,1831,-427,27795,36694,-12585,36599,25444
105,238,941,-1525,1586,-671,28491,36279,-12182,36599,25444
109,221,941,-1403,1831,-610,28332,36926,-11413,36599,25444
106,219,941,-2136,1586,-915,28283,35961,-11022,36599,25444
109,227,941,-1770,1953,-671,28442,36120,-11206,36599,25444
108,226,942,-1831,1647,-549,29003,36145,-11413,36599,25444
108,222,952,-1464,2014,-610,28613,35839,-10351,36599,25444
109,228,942,-2685,1647,-488,28332,36486,-11132,36599,25444
107,223,941,-366,1892,-610,27978,36535,-10498,36599,25444
109,222,942,-2136,1525,-854,27661,37194,-10961,36599,25444
108,221,941,-1342,1708,-732,27844,36474,-12182,36599,25444
110,223,941,-1281,1708,-488,27319,37243,-11621,36599,25444
106,225,941,-1403,1464,-976,27197,36706,-11352,36599,25444
106,224,944,-1708,1525,-854,26367,36584,-11401,36599,25444
111,219,944,-1831,1831,-305,27343,37060,-11901,36599,25444
106,222,942,-1647,1953,-305,27014,37329,-12011,36599,25444
109,226,943,-1708,1403,-122,26806,36645,-10913,36599,25444
109,215,942,-1464,1831,-305,26965,36840,-10827,36599,25444
103,236,940,-1281,1892,-610,27050,37536,-11901,36599,25444
111,222,943,-1892,1953,-488,26831,36853,-10888,36599,25444
106,223,940,-1586,1708,-305,27185,37365,-12170,36599,25444
112,220,943,-2197,1831,-488,26818,37304,-11840,36599,25444
