xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
76,107,968,1770,976,-5310,26269,40832,-9326,36491,23832
73,97,973,-1220,-610,-1831,26318,41503,-10546,36491,23832
82,119,974,-7202,1586,2319,26550,40209,-9375,36491,23832
73,182,975,-7080,1037,5493,26452,40405,-9790,36491,23832
48,116,951,427,2502,4455,26281,40625,-10791,36491,23832
59,42,972,-915,1586,4943,26782,40332,-10534,36491,23832
108,116,960,-1770,1892,-2746,26867,40588,-10363,36491,23832
35,188,968,-1464,-793,0,27270,40295,-9509,36491,23832
46,114,963,-4516,854,-610,26538,40100,-11254,36491,23832
51,172,958,-2319,4150,61,27001,40075,-10034,36491,23832
50,164,961,10681,11230,2990,27673,40356,-9472,36491,23832
48,132,967,6591,4089,305,27893,40576,-9277,36491,23832
24,151,968,-4577,4760,-366,28234,39660,-9753,36491,23832
30,154,963,427,-854,3417,28222,40502,-9851,36491,23832
36,175,962,-3540,3784,-1342,27770,40722,-8984,36491,23832
105,125,964,-1220,-183,-3479,28210,40148,-10290,36491,23832
109,103,976,-5859,976,2563,27905,40344,-10388,36491,23832
99,107,964,-1281,1281,4211,28076,39880,-10400,36491,23832
91,89,967,-2746,-305,2075,28344,39819,-11413,36491,23832
94,83,974,-1892,915,3479,27929,39392,-10827,36491,23832
88,120,965,-5920,2502,2197,28161,38793,-9948,36491,23832
71,137,966,-12634,3051,-3967,27661,39807,-9973,36491,23832
81,123,954,488,2441,3540,27624,40136,-10290,36491,23832
60,129,953,-183,2929,1953,27648,40039,-10461,36491,23832
57,158,966,-4150,427,-1220,27465,39489,-10205,36491,23832
62,109,939,-1281,-976,-1159,27551,39794,-11303,36491,23832
64,165,971,-671,1831,-1037,27246,39904,-10644,36491,23832
39,161,958,-1770,1892,-1525,27478,39428,-10974,36491,23832
54,172,962,-2685,2197,-244,27758,39538,-11779,36491,23832
56,182,953,-1403,1525,-610,27758,40063,-10729,36491,23832
53,173,953,-1953,793,-15625,27758,39990,-11560,36491,23832
46,174,960,-2258,915,-61,27783,39587,-9802,36491,23832
44,173,956,-732,610,-671,27282,40393,-9436,36491,23832
46,177,958,-1098,2929,-488,27453,39782,-10791,36491,23832
47,172,957,-610,1831,-854,27612,40124,-11401,36491,23832
48,182,956,-2075,1403,-244,27331,39624,-10754,36491,23832
43,189,957,-1953,1403,-732,27685,39611,-10864,36491,23832
46,181,958,-488,1892,-61,27490,39855,-10961,36491,23832
39,179,958,-1953,1403,-122,27600,39733,-10498,36491,23832
46,171,960,-1464,1770,-183,27587,39416,-10815,36491,23832
48,183,954,-1831,1647,-244,27624,39831,-11047,36491,23832
46,177,960,-1953,1464,-427,27551,39770,-11767,36491,23832
41,177,958,-2014,1708,-183,27575,39648,-10290,36491,23832
42,178,958,-1342,1464,-61,27331,39843,-11328,36491,23832
44,174,956,-1892,1708,-305,27258,39453,-10778,36491,23832
41,176,957,-1953,1586,-366,27282,39514,-10290,36491,23832
44,179,957,-1464,1403,-122,27795,39184,-10913,36491,23832
43,178,958,-1647,2197,-366,28100,39855,-10900,36491,23832
43,177,957,-1831,1647,-366,27587,39514,-10656,36491,23832
37,175,958,-2136,1953,-244,27587,39562,-10913,36491,23832
43,177,957,-1770,1770,-183,27246,39758,-10754,36491,23832
42,181,959,-1831,1831,-244,27587,40026,-12585,36491,23832
41,198,949,-1831,1708,-244,27539,39404,-11901,36491,23832
41,178,956,-2258,1770,-61,26977,39721,-11523,36491,23832
44,175,957,-1953,1892,-122,27294,39794,-10534,36491,23832
39,182,957,-1525,1708,-183,27270,40026,-10913,36491,23832
41,184,956,-1342,1708,-549,27124,39916,-9704,36491,23832
40,182,957,-1281,1770,-671,27331,39135,-11499,36491,23832
38,180,958,-1586,1647,-671,27160,39709,-10266,36491,23832
43,184,955,-1342,1770,-366,27661,39648,-11230,36491,23832
41,184,957,-1586,1892,-305,26989,39929,-10388,36491,23832
41,186,958,-1892,2014,-488,27685,39709,-10144,36491,23832
44,182,955,-2380,1831,-488,27392,40332,-10327,36491,23832
40,180,957,-1403,1770,-549,27514,40185,-11206,36491,23832
40,179,957,-1159,1525,-427,27929,39550,-11413,36491,23832
49,181,957,-1892,1831,-366,26940,39550,-10668,36491,23832
40,186,956,-1708,1464,-488,27551,39501,-11303,36491,23832
38,181,959,-1403,1708,-244,27502,39978,-10180,36491,23832
49,177,957,-1708,1586,-488,27502,39550,-10900,36491,23832
40,182,955,-1586,1403,-488,27331,39758,-10559,36491,23832
45,183,957,-1525,1586,-244,27648,39428,-10461,36491,23832
44,178,955,-1708,1647,-305,27526,39721,-10876,36491,23832
44,183,957,-1892,1708,-427,27453,39648,-9619,36491,23832
40,182,957,-1770,1403,-427,28039,39379,-10583,36491,23832
46,181,958,-1525,1770,-427,27661,39160,-10717,36491,23832
45,183,955,-2197,1647,-671,27551,39685,-10693,36491,23832
42,184,957,-1708,1647,-305,26928,39428,-11059,36491,23832
44,183,957,-1342,1647,-610,27441,39550,-10009,36491,23832
43,186,957,-1647,1281,-549,27148,39318,-10827,36491,23832
41,184,957,-1281,1525,-549,27233,39587,-10485,36491,23832
44,183,957,-1220,1770,-549,27563,40295,-10949,36491,23832
44,183,955,-1586,1098,-427,27355,39648,-10168,36491,23832
41,183,955,-1586,1586,-305,27148,39501,-11401,36491,23832
45,184,957,-732,2563,-244,27661,39965,-10095,36491,23832
46,183,956,-183,2929,-122,27612,39624,-11523,36491,23832
42,179,957,-2319,2014,-305,28186,39672,-11328,36491,23832
44,181,957,-2136,1159,0,27648,39624,-11743,36491,23832
43,185,958,-1098,1770,-488,27783,39184,-11364,36491,23832
41,167,957,-1098,2014,-793,27062,39062,-10693,36491,23832
45,177,956,-1464,1892,-244,27722,40014,-11022,36491,23832
45,181,954,-1525,1953,-854,27819,39453,-10729,36491,23832
