xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
83,205,942,-1037,732,0,25842,37158,-12353,37104,25103
79,230,937,-2807,1647,0,26245,36950,-11962,37104,25103
85,250,943,-3234,1770,732,25732,36694,-11987,37104,25103
76,240,947,-6042,2563,3479,26123,36560,-12231,37104,25103
79,213,936,-3845,2868,-549,26086,36340,-12060,37104,25103
81,225,922,-1403,1037,-1281,26416,36035,-12109,37104,25103
87,227,954,-122,4272,-1220,26245,36584,-12145,37104,25103
87,187,939,0,244,-122,25952,36462,-12072,37104,25103
77,250,938,0,2258,-793,26599,37426,-13061,37104,25103
81,275,925,-1037,2197,-3051,25964,36840,-13134,37104,25103
76,279,928,-2502,1770,-3906,25463,37121,-12792,37104,25103
79,271,896,-2136,1342,-183,25573,37341,-13195,37104,25103
80,291,928,-1037,-4577,-427,25402,36157,-13256,37104,25103
101,276,955,-1770,2075,61,25573,36816,-12805,37104,25103
64,269,935,-1525,1098,-122,25683,36730,-12121,37104,25103
65,256,941,-1342,1464,-183,25317,37048,-12805,37104,25103
69,251,938,-1525,1220,-366,25646,36950,-12854,37104,25103
64,253,939,-1342,1647,-427,25463,36474,-12988,37104,25103
71,257,937,-1403,1647,-366,25793,37097,-12829,37104,25103
67,254,938,-1342,1464,-549,25903,36535,-13122,37104,25103
71,244,938,-915,2136,-732,25634,37268,-12768,37104,25103
65,252,939,-1586,1770,-793,25463,36645,-13195,37104,25103
67,250,938,-1525,2075,-671,25781,37731,-11694,37104,25103
66,247,938,-1770,2075,-488,25280,37341,-12695,37104,25103
67,244,937,-1770,2197,-732,25476,37133,-12719,37104,25103
67,249,936,-1098,1892,-549,25170,37634,-13232,37104,25103
67,247,938,-1953,1953,-488,25488,37292,-12805,37104,25103
69,253,937,-1464,1770,-610,25024,37475,-13391,37104,25103
70,242,939,-1647,1831,-305,25634,36950,-12670,37104,25103
70,246,936,-1403,2014,-366,25402,37231,-11987,37104,25103
73,246,938,-1647,1892,-610,25854,36865,-12841,37104,25103
69,247,937,-1586,1892,-305,25622,37292,-12475,37104,25103
71,242,938,-1464,1770,-549,26013,36999,-13073,37104,25103
70,248,937,-1892,1831,-610,26074,37451,-13476,37104,25103
69,246,938,-1647,2014,-366,25817,37268,-12622,37104,25103
72,242,940,-1770,1770,-305,26123,36767,-12219,37104,25103
71,248,941,-1586,1770,-366,25427,37524,-11450,37104,25103
71,242,940,-1892,1770,-427,25585,37329,-13012,37104,25103
72,246,939,-1647,1953,-488,25744,37036,-12963,37104,25103
71,242,941,-2014,1953,-366,26220,37292,-13146,37104,25103
71,246,940,-1586,1586,-610,25732,36853,-12963,37104,25103
72,243,941,-1403,1586,-488,25622,37182,-12878,37104,25103
72,245,938,-1464,1525,-244,25866,37243,-12500,37104,25103
73,245,938,-1098,1770,-427,25122,36657,-14404,37104,25103
68,242,939,-1647,1464,-244,25280,37109,-12719,37104,25103
70,244,938,-1586,1647,-671,25512,36791,-13623,37104,25103
70,248,937,-1708,1586,-366,25732,36791,-13122,37104,25103
70,246,936,-1281,1708,-610,25146,37255,-12988,37104,25103
67,247,937,-1586,1525,-488,25695,36669,-12683,37104,25103
71,244,938,-1525,1770,-854,25439,37304,-13708,37104,25103
68,247,940,-2014,1892,-610,26293,37524,-13134,37104,25103
71,246,938,-1464,1953,-549,26257,37219,-12939,37104,25103
69,248,939,-1525,1892,-366,25744,37170,-12170,37104,25103
70,249,938,-1770,1770,-549,25683,37060,-13049,37104,25103
70,242,939,-1586,1770,-671,25756,37329,-12573,37104,25103
72,244,938,-1525,1708,-427,26220,37426,-11950,37104,25103
73,246,938,-1525,1892,-610,25573,37609,-13696,37104,25103
71,244,938,-1586,1892,-244,25866,37219,-12646,37104,25103
70,247,937,-1525,1831,-549,25610,37377,-12988,37104,25103
71,244,937,-1708,1647,-671,25866,37646,-13037,37104,25103
67,245,937,-976,1953,-671,25793,37011,-12280,37104,25103
71,245,938,915,1892,-366,25891,37023,-12670,37104,25103
70,248,938,-4821,1953,-244,26428,37426,-12377,37104,25103
73,242,939,-1342,1525,610,26062,37377,-12817,37104,25103
72,243,937,43151,1708,0,25964,38110,-13745,37104,25103
72,245,950,-12268,2624,-793,25683,39318,-12585,37104,25103
75,246,947,-1037,1525,-5676,26062,39001,-12915,37104,25103
67,245,946,-2868,1342,-6225,26708,38073,-12060,37104,25103
68,231,938,-3479,2258,9765,25952,39013,-11962,37104,25103
82,236,918,-4943,7385,3540,26086,37719,-13232,37104,25103
118,240,964,-3356,3906,1037,26098,38195,-12670,37104,25103
35,231,949,-2258,732,1159,26013,37524,-13281,37104,25103
92,48,954,-5004,3356,-427,26037,38049,-12512,37104,25103
85,85,948,-3540,2319,549,26123,37658,-12939,37104,25103
90,158,953,-732,1159,366,26257,38232,-13330,37104,25103
81,170,948,61,1281,1586,26159,38159,-13378,37104,25103
86,167,954,-2685,2929,183,26550,38171,-13024,37104,25103
71,205,953,610,427,-1342,26831,37841,-12329,37104,25103
70,212,956,-1098,2807,-366,26501,38452,-12500,37104,25103
84,168,953,-854,1892,-305,26184,38183,-12976,37104,25103
78,208,954,-1342,6469,-2197,25805,38317,-12512,37104,25103
92,222,943,-2380,1403,-854,26013,38305,-11865,37104,25103
86,195,939,-1464,915,-549,26037,38500,-12536,37104,25103
96,181,970,-2014,4638,-366,25634,38073,-12707,37104,25103
77,212,954,-1831,1770,-183,25878,38073,-11987,37104,25103
79,219,949,-1464,1586,-122,25952,38586,-12548,37104,25103
83,198,949,-1586,1464,-122,25500,38122,-12072,37104,25103
83,198,956,-1647,1220,-610,25793,38330,-12438,37104,25103
83,195,952,-1586,1464,-732,25622,38146,-12976,37104,25103
80,191,947,-1403,1586,-366,25964,38183,-13439,37104,25103
80,198,951,-1831,1281,-427,25866,38061,-13781,37104,25103
78,198,950,-1770,1647,366,25842,37805,-12548,37104,25103
76,198,949,-1464,1586,-427,26062,37951,-13500,37104,25103
79,200,950,-1708,1831,-61,25903,38183,-13195,37104,25103
75,196,950,-1586,1342,-366,25598,37854,-12365,37104,25103
75,192,949,-1647,1708,-549,25524,38171,-12573,37104,25103
75,196,949,-1525,1953,-488,25756,38024,-13134,37104,25103
76,200,950,-1525,1831,-549,25891,38708,-11682,37104,25103
76,199,950,-1708,1708,-488,25878,38806,-13232,37104,25103
77,196,951,-1708,1892,-671,26074,38378,-12292,37104,25103
74,197,949,-1281,1831,-305,25976,38110,-11706,37104,25103
78,197,950,-1586,1831,-244,25683,37670,-12719,37104,25103
77,201,951,-1831,1708,-427,25207,37915,-11865,37104,25103
74,198,951,-1525,1953,-427,25537,38061,-12292,37104,25103
76,198,949,-2380,1770,-366,25769,37878,-12072,37104,25103
78,203,949,-1892,1892,-366,26184,38061,-12524,37104,25103
74,198,949,-1831,1892,-427,25866,38305,-13000,37104,25103
75,199,950,-1770,1647,-427,25793,37976,-13354,37104,25103
73,199,950,-1892,1708,-488,25354,37646,-12500,37104,25103
78,196,952,-1770,1586,-549,25048,37890,-12939,37104,25103
76,197,949,-2014,1586,-305,25732,37658,-12524,37104,25103
77,201,950,-1220,1281,-549,25524,37561,-13232,37104,25103
75,202,950,-1281,1403,-549,25378,38049,-11962,37104,25103
76,194,950,-1159,1647,-366,25769,37841,-14770,37104,25103
75,202,948,-1159,1342,-427,25598,38024,-13049,37104,25103
73,200,949,-1220,1647,-305,25939,38342,-13891,37104,25103
73,202,950,-2136,1525,-427,25891,37854,-12841,37104,25103
74,205,950,-1708,2075,-549,25927,38415,-12512,37104,25103
71,204,951,-1525,1831,-671,25512,38171,-12585,37104,25103
72,198,950,-1770,1953,-305,25195,38085,-11755,37104,25103
73,205,950,-1831,2075,-305,25915,38232,-12634,37104,25103
73,201,950,-1770,1464,-244,25988,37829,-12658,37104,25103
72,201,950,-1708,1892,-305,25915,37902,-12756,37104,25103
76,193,951,-1464,1708,-366,26025,38220,-13488,37104,25103
73,202,951,-1770,1770,-549,25671,38269,-12829,37104,25103
74,195,953,-1708,1831,-488,25561,38244,-13330,37104,25103
75,198,952,-2014,2075,-366,25708,37976,-12597,37104,25103
75,200,949,-1464,2075,-671,25939,38220,-13928,37104,25103
75,198,951,-2014,1770,-427,25720,37854,-13330,37104,25103
74,197,951,-1586,1831,-549,25866,37780,-12976,37104,25103
76,200,950,-1831,1770,-244,25524,37609,-12976,37104,25103
75,200,950,-2014,1708,-366,25537,37609,-14038,37104,25103
77,199,950,-2075,1647,-305,25390,37329,-13037,37104,25103
76,198,950,-1831,1892,-488,25634,38366,-12463,37104,25103
79,197,950,-1892,1708,-366,25769,38024,-13635,37104,25103
75,203,950,-1464,1464,-305,25585,37890,-13037,37104,25103
75,204,948,-1342,1525,-854,25231,38037,-13891,37104,25103
75,202,949,-1342,1892,122,25354,37951,-13037,37104,25103
71,203,950,-1647,1220,-427,25903,38366,-13366,37104,25103
77,198,947,-793,1037,-488,25903,38342,-14343,37104,25103
73,203,949,-1281,1098,-183,25390,38232,-13623,37104,25103
69,211,950,-1892,2197,-549,25280,37817,-13549,37104,25103
71,205,950,-2136,1770,-427,25292,38684,-12487,37104,25103
69,206,950,-1464,1647,-488,25769,37854,-13342,37104,25103
71,206,952,-1525,1831,-488,25805,37915,-13537,37104,25103
71,199,952,-1831,1892,-793,24865,37792,-14001,37104,25103
72,199,950,-1953,1770,-366,24987,38317,-13073,37104,25103
75,201,950,-1770,1953,-366,25976,37731,-13098,37104,25103
72,193,951,-1281,1708,-305,25439,38464,-13159,37104,25103
74,197,952,-1770,1892,-549,25317,37988,-13598,37104,25103
74,198,950,-1464,1831,-488,24816,37646,-14184,37104,25103
73,198,950,-1586,1831,-488,25500,38464,-14257,37104,25103
72,197,952,-1770,1708,-610,25061,37512,-13269,37104,25103
71,196,953,-1647,1892,-732,25585,38391,-14123,37104,25103
75,197,951,-2258,1647,-244,25720,38378,-13269,37104,25103
72,198,951,-1586,1831,-915,25500,37658,-14001,37104,25103
73,199,953,-2380,1831,-183,25439,38000,-13903,37104,25103
73,198,953,-2014,1525,-915,25585,37585,-14111,37104,25103
75,198,950,-2014,1953,183,25500,37817,-13085,37104,25103
70,199,954,-1831,1647,-122,25415,37268,-12536,37104,25103
76,199,953,-1403,1281,244,25744,38110,-12316,37104,25103
70,208,948,-2014,1647,854,25939,37573,-13928,37104,25103
69,199,949,-2624,1464,-122,25952,37451,-12463,37104,25103
67,204,952,2014,1464,-1281,25891,37280,-13879,37104,25103
72,196,949,-4272,2197,-2685,25915,37902,-13146,37104,25103
62,204,950,-4455,2990,-366,25915,37402,-12341,37104,25103
61,197,953,-3723,1342,1037,26843,36877,-13012,37104,25103
