xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
-1204,-80,-1,-22827,79040,35583,-10144,54650,-512,22009,43378
-1437,-961,-789,-25634,85876,51940,-8740,54260,9020,22009,43378
-1685,130,-511,-41687,25024,36437,-7580,52331,14709,22009,43378
-898,0,1166,141296,1708,32653,-8581,50109,16931,22009,43378
-616,411,-523,-27465,-96252,9704,-8776,41943,27062,22009,43378
-482,8,-189,128662,-39123,-30883,-6982,36962,18286,22009,43378
-754,148,-44,20568,-60791,-18432,-6958,40393,14672,22009,43378
-1957,-740,221,4821,124938,-8361,-11193,52038,2673,22009,43378
-1003,-57,-204,-31372,61767,70190,-8508,54333,927,22009,43378
-820,-91,72,-30822,48706,49377,-7751,55090,9631,22009,43378
-933,-43,483,-49194,8605,61340,-8459,48767,17663,22009,43378
-1332,-494,-380,-46325,-19592,-46752,-9716,45788,23730,22009,43378
-929,-213,-199,7324,-76904,-7507,-10913,39404,22180,22009,43378
-688,-81,-47,66894,-73303,-74768,-10400,46887,-2148,22009,43378
-762,-346,-540,-60241,20629,366,-11877,52001,-3283,22009,43378
494,1538,-337,-90942,97290,33325,-8666,54504,-7678,22009,43378
-1211,-894,-221,-70434,42663,64880,-4565,54235,1464,22009,43378
-671,-65,438,306335,4394,27587,-8154,48181,12158,22009,43378
-1087,-706,-605,18188,-11413,2319,-8715,43481,26757,22009,43378
-1503,231,-340,88012,-141296,-2380,-6079,39562,27294,22009,43378
-541,21,-178,-89050,-45654,-48156,-10351,51806,17907,22009,43378
-947,-434,-546,-36437,-30761,-26672,-9545,52209,-7385,22009,43378
-886,-395,-331,-169799,171020,34606,-8386,50048,-6921,22009,43378
-1303,-765,784,151977,70739,20141,-10791,48010,5749,22009,43378
-856,126,-556,-3417,2685,59753,-11206,44580,19580,22009,43378
-1045,-211,-138,39245,-91857,-3784,-9948,41442,23461,22009,43378
-1454,121,-80,32104,-107788,-41259,-11462,49450,19421,22009,43378
-1623,-62,-870,-113403,-53527,-24353,-11462,51672,-12158,22009,43378
-1348,-35,-435,-131958,37170,-5004,-6066,50854,-13000,22009,43378
-1234,-802,-418,-66345,90271,31372,-4968,51879,-13574,22009,43378
-1106,-229,1136,176330,45471,42236,-7971,50097,8398,22009,43378
-1010,-242,-898,19897,-51635,1953,-10986,47485,13940,21486,43337
-1607,-1033,-146,56152,-86914,-15380,-10314,45361,18066,21486,43337
-1760,149,-187,2868,-50170,-26855,-8020,46289,12390,21486,43337
-406,160,-437,-86669,-63476,-31982,-6457,52709,-3515,21486,43337
-1210,-832,635,153747,-28381,11657,-6872,49096,-14965,21486,43337
-3999,-214,-557,79650,107543,50170,-10278,52050,7714,21486,43337
-869,-812,-90,12268,62438,-24169,-9594,46740,10778,21486,43337
-1078,-484,110,45593,-11718,-41748,-9057,42785,21520,21486,43337
-1168,-451,94,-1464,-96618,-30700,-11730,45104,13769,21486,43337
-1672,692,-474,-95642,-43090,-36071,-8581,53381,6555,21486,43337
-383,-2,-375,-50415,20202,27404,-6054,52514,-11096,21486,43337
325,-341,669,86181,106262,43457,-8898,48876,-14904,21486,43337
-1155,-159,-528,-16906,78063,25268,-11010,48937,1110,21486,43337
-840,-44,-57,-2258,-11962,-366,-10327,46960,16235,21486,43337
-1889,-384,80,67138,37048,-7324,-11669,43347,21044,21486,43337
-1449,-381,-904,-47912,-129333,-35461,-11157,49291,13098,21486,43337
-804,200,-495,-83435,-34851,15441,-7592,52978,-6286,21486,43337
-1076,306,-443,-37414,29113,23620,-6372,52709,-7592,21486,43337
382,736,148,289367,102172,26733,-8020,51220,-9667,21486,43337
-868,-395,-621,8483,24658,8605,-10351,49645,11828,21486,43337
-778,-66,-22,65856,-13122,-9460,-9790,44543,17895,21486,43337
-1649,-1152,875,47302,-61340,15319,-11010,48132,21154,21486,43337
-1739,302,-152,-67382,-30395,-5981,-9655,51403,-1208,21486,43337
-313,176,-325,-8117,671,30090,-7104,53112,-5615,21486,43337
-1007,-996,510,100402,100341,83923,-7250,51635,-6518,21486,43337
-2070,-304,-386,50292,69030,28442,-9924,51342,6152,21486,43337
-979,-1739,-668,-11718,-23193,-17517,-10009,48144,11999,21486,43337
-976,-76,-68,47912,-27465,-3540,-9216,45373,17065,21486,43337
-1775,-71,-711,-58593,-78430,-7751,-12072,45788,20178,21486,43337
-534,-729,-386,-63598,-48706,-6042,-10705,49890,3930,21486,43337
-875,-423,1464,-72143,-39001,14831,-5297,52539,-7165,21486,43337
-1100,-377,-1229,-30822,17272,14831,-6298,52746,-13171,21486,43337
-1041,993,-163,109313,92712,35583,-10095,50305,1257,21486,43337
-902,-260,50,12573,-11901,-22460,-9631,52539,11169,21486,43337
-1070,-504,96,63964,52246,-34973,-8471,46740,22717,21486,43337
-1450,-930,-437,-72570,-83801,-27648,-12280,43774,12292,21486,43337
-708,497,-386,-104858,-22888,18249,-7397,45544,8276,21486,43337
-361,266,955,15625,27893,86181,-3271,51782,-8007,21486,43337
-1246,-1040,-156,-117858,117065,37048,-3967,55456,-11804,21486,43337
-511,-215,-293,50964,84411,-61767,-7690,53198,-11132,21486,43337
-1074,-191,-114,-305,40832,4943,-7885,52355,14636,21486,43337
-895,-398,-104,63110,-65368,-21850,-4797,51147,21655,21486,43337
-1191,412,-571,-52917,-118713,-3540,-5114,48266,25146,21486,43337
-1792,-118,-36,-5493,-51818,0,-9899,45349,15344,21486,43337
-1126,215,-142,-1647,-33874,-8483,-9375,47351,610,21486,43337
-1000,1086,196,-15136,-18249,23681,-6176,50512,-4455,21486,43337
-1562,-782,-292,-26367,114624,13732,-7470,53320,-622,21486,43337
-1608,-187,-312,131042,45043,-11169,-7336,52783,22180,21486,43337
-995,-360,-122,42480,-66650,-16113,-5322,50732,29724,21486,43337
-912,-234,-36,74890,-39367,-793,1928,48095,34411,21486,43337
-1208,-20,766,23132,-39978,12695,1184,43164,23937,21486,43337
-1046,121,-335,67504,-36804,26733,-12451,33337,17297,21486,43337
-409,-193,29,-17883,-26000,79223,-14941,34289,10852,21486,43337
-327,477,650,-91186,179443,19775,-13391,38366,14721,21486,43337
-10,-419,-599,286254,109191,4577,-11791,40332,22570,21486,43337
-794,-238,-173,39123,-25268,29968,-5566,37414,32861,21486,43337
-877,-382,-231,64758,-142089,-35034,-1745,28161,33227,21486,43337
-1192,-406,-759,23071,-95520,-9338,-13366,23144,28027,21486,43337
-1472,-31,-417,-91247,-46752,7446,-15832,16687,11877,21486,43337
-654,-90,-317,-101379,49926,6164,-15820,19494,13110,21486,43337
-880,-775,-632,61279,102111,36560,-12963,28308,12719,21486,43337
-907,-179,-387,5554,6652,5859,-5859,31396,28710,21486,43337
-1021,-225,-359,63598,-7812,-13061,-122,27636,33386,21486,43337
-921,-825,-190,-1586,-28320,-44921,-7409,21801,32556,21486,43337
-1581,271,-484,-75561,-70922,4272,-14367,18713,27099,21486,43337
-1515,52,-438,-81970,-26062,3540,-14172,20202,16088,21486,43337
-768,-141,681,91064,36193,36254,-13549,27612,14294,21486,43337
-221,424,-472,22644,109375,12390,-6530,33251,11828,21486,43337
-1035,55,-200,32470,78735,-1098,-952,34851,21618,21486,43337
219,64,-243,34606,-244,-35400,3308,29357,26428,21486,43337
-949,-1168,99,-33630,-25512,-32531,-8105,22412,31872,21486,43337
-1198,101,-446,-135314,-80261,-19531,-9973,18859,26599,21486,43337
-1434,270,-465,-62744,-40222,17944,-9936,20642,19897,21486,43337
-567,-489,1428,-65246,22766,47180,-7031,31262,11047,21486,43337
