xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
70,111,964,-1831,1342,-488,28833,37744,-12365,37843,24024
74,107,968,-1525,1708,-366,28808,38537,-11010,37843,24024
74,109,968,-2258,1708,-610,28833,38183,-11218,37843,24024
71,109,964,-2258,1892,244,28527,38623,-11181,37843,24024
71,106,964,-1586,1647,-793,28955,38415,-12670,37843,24024
73,114,966,-1831,2014,-549,28686,38500,-11389,37843,24024
73,112,968,-1525,1403,-427,28833,38854,-11743,37843,24024
74,117,965,-2014,1647,-122,28918,38732,-11633,37843,24024
73,107,964,-2014,1831,-1037,28820,38732,-11315,37843,24024
73,119,965,-1770,1953,122,28393,38452,-11914,37843,24024
74,115,967,-1586,1342,-549,28955,39245,-11865,37843,24024
74,112,967,-1464,1708,-244,28649,38757,-13024,37843,24024
73,112,965,-2380,1525,-183,28833,39172,-10571,37843,24024
75,117,965,-2136,1464,-427,28784,38696,-11853,37843,24024
72,106,965,-1708,1525,-671,28283,38464,-11425,37843,24024
74,113,965,-1831,1770,-61,29187,38769,-12036,37843,24024
74,113,965,-1586,1586,-427,28503,38476,-12121,37843,24024
72,111,966,-2258,1770,-793,28552,38562,-11694,37843,24024
72,105,968,-1770,1403,-305,28759,38659,-12329,37843,24024
69,112,965,-1953,1953,-854,28613,38549,-12072,37843,24024
69,109,964,-1586,1770,-976,29016,38439,-12036,37843,24024
71,112,966,-1586,1708,0,29211,38684,-11096,37843,24024
70,108,967,-1281,1770,-549,28723,39123,-11633,37843,24024
71,109,965,-1770,2075,-122,28942,38708,-11853,37843,24024
71,109,965,-1647,1892,-488,28881,38891,-12365,37843,24024
73,113,966,-1831,1464,-244,29211,38293,-11645,37843,24024
72,111,966,-1464,1708,-366,29028,38208,-12194,37843,24024
73,112,965,-1770,1586,-488,29162,38232,-12182,37843,24024
73,110,967,-1770,1647,-305,28906,38623,-11462,37843,24024
72,109,963,-1586,1342,-610,29040,38696,-12194,37843,24024
74,110,965,-1464,1647,-183,29028,38891,-11950,37843,24024
74,108,965,-1708,1281,-427,29162,38891,-11535,37843,24024
74,112,966,-1892,1342,-122,28356,38818,-12268,37843,24024
73,107,967,-1770,1586,-122,29064,38867,-11083,37843,24024
73,111,965,-1770,1464,-122,28894,38452,-11645,37843,24024
75,111,967,-1586,1708,-305,28662,38964,-12194,37843,24024
72,110,965,-1892,1647,-305,28466,38586,-12121,37843,24024
72,113,965,-1586,1831,-793,28186,38525,-10827,37843,24024
71,110,966,-1708,1831,-671,28466,38793,-12243,37843,24024
71,111,965,-1464,2075,-549,28894,38793,-11621,37843,24024
70,110,966,-1953,2075,-732,28454,38891,-11645,37843,24024
69,110,965,-1098,1708,-793,28686,38867,-11755,37843,24024
71,106,966,-1586,2014,-366,28747,38256,-12634,37843,24024
71,108,966,-1770,1647,-549,28662,39099,-11816,37843,24024
71,108,969,-1342,1831,-366,28601,38623,-11059,37843,24024
74,111,962,-2075,1647,-427,28430,38830,-12060,37843,24024
72,109,968,-1586,1647,-122,28637,38330,-12646,37843,24024
75,112,964,-1525,1708,-366,28845,38684,-12145,37843,24024
74,110,964,-1953,1770,-61,28991,38513,-12475,37843,24024
76,111,967,-2075,1464,-549,28674,38403,-10839,37843,24024
73,114,964,-1647,1953,-366,28491,38427,-12109,37843,24024
76,106,962,-1525,1770,-366,28771,38830,-11901,37843,24024
74,109,965,-1647,1464,-366,28918,38183,-11206,37843,24024
74,118,967,-1892,1403,-61,29003,37902,-11218,37843,24024
77,109,964,-1525,1464,-183,28784,37976,-11987,37843,24024
76,109,966,-1159,1464,61,29211,38574,-11450,37843,24024
73,110,967,-2197,1464,-854,28454,38732,-12402,37843,24024
76,106,968,-1464,793,488,28503,38842,-11633,37843,24024
75,108,967,-1708,1708,-671,28356,37988,-11083,37843,24024
72,111,962,-1708,1342,61,28405,38403,-12377,37843,24024
72,108,969,-1098,1403,-427,28601,39123,-12280,37843,24024
73,114,968,-1708,1647,-244,28955,38562,-12768,37843,24024
73,108,966,-2014,1098,-366,28820,38195,-12500,37843,24024
67,104,964,-1464,1831,-366,28002,38366,-12377,37843,24024
70,106,971,-1770,1586,-122,28527,38964,-11621,37843,24024
75,113,963,-2319,1953,-427,28552,38183,-12133,37843,24024
71,107,967,-2014,1770,-854,28564,38061,-11535,37843,24024
73,121,968,-2502,1892,-1464,28771,38781,-11865,37843,24024
74,112,968,-1708,2258,-1831,29235,38903,-13146,37843,24024
68,122,968,-1770,2807,-1586,28930,38916,-12036,37843,24024
72,112,969,-1342,2014,-2502,28796,39013,-13110,37843,24024
74,116,962,-366,2807,-1281,29028,38549,-11254,37843,24024
77,123,964,-1708,1647,-854,29199,39062,-11511,37843,24024
76,115,966,-1708,1403,183,28710,38623,-11621,37843,24024
82,110,963,-2014,1037,183,28906,38586,-11730,37843,24024
82,105,963,-2502,1464,183,28991,39025,-12109,37843,24024
84,111,966,-1220,1525,-122,29174,38684,-11621,37843,24024
88,111,967,-2502,1647,-366,28894,38745,-12390,37843,24024
87,108,968,-1647,2380,-61,28247,38549,-11291,37843,24024
86,110,964,-1525,1525,-488,29357,38500,-10644,37843,24024
84,107,964,-1403,2014,-2929,28588,38513,-9741,37843,24024
85,108,1026,-1586,7019,-5859,30310,39379,-8923,37843,24024
85,112,947,-1403,15930,-793,30395,39001,-7812,37843,24024
86,105,964,-4089,21423,2441,30541,38854,-7250,37843,24024
86,118,896,61,6347,-10437,31347,37817,-10192,37843,24024
84,82,594,-11657,-183,-7324,29724,38549,-10534,37843,24024
77,74,892,-5126,-35766,-16662,28601,39184,-10644,37843,24024
103,186,934,-12207,-3601,-2014,27856,38415,-11669,37843,24024
122,218,980,8361,-3723,-11596,27502,40002,-11022,37843,24024
265,71,973,-7202,-1159,-1953,27343,39062,-12866,37266,23870
203,-46,968,-16174,-3601,1464,26525,39208,-12194,37266,23870
354,212,959,-2258,-2075,3234,26501,38134,-12219,37266,23870
90,143,980,-9399,-2868,488,27478,39379,-12756,37266,23870
165,107,924,-6286,7263,-732,27404,39282,-11901,37266,23870
79,173,961,-610,3662,-854,27404,39282,-11584,37266,23870
82,141,975,6652,1586,-1953,27246,39538,-12316,37266,23870
