xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
-1157,-143,281,18554,-28381,48522,-13696,19970,14770,16599,56105
-949,117,129,-55786,99975,87829,-16247,25573,15173,16599,56105
-727,-184,-162,-54382,82458,10131,-16027,19677,24670,16599,56105
-1162,-453,-632,349365,86486,17211,-15905,13732,22961,16599,56105
-1375,-236,-397,159118,114440,-58349,-10729,18176,23681,16599,56105
-1643,526,930,23803,-29663,-59020,-5297,26037,20581,16599,56105
-1297,37,-1229,-102783,-10131,-32592,-9313,27404,13476,16599,56105
-971,-642,-685,-91613,127807,59204,-13305,17919,15148,16599,56105
-880,-99,-16,-55664,44616,5126,-18640,14172,13146,16599,56105
-1154,-58,-354,242614,46630,9643,-16821,6896,22631,16599,56105
-1610,-609,-821,15563,-13122,32043,-12023,12133,24121,16599,56105
-144,171,-3,14404,-34606,-5554,-11694,16271,20568,16599,56105
-468,-28,214,-56396,-14282,-21301,-11010,19384,7983,16599,56105
1551,-76,-553,-71411,133422,7385,-14025,13464,8520,16599,56105
-748,1684,61,-71533,38208,48767,-17297,7104,8862,16599,56105
-1101,373,-475,308593,-12756,-11901,-16918,6140,8276,16599,56105
-1741,-520,-452,35522,-1953,-12145,-13024,9191,6054,16599,56105
-217,752,-179,-99670,-9033,35827,-12817,12646,3808,16599,56105
-533,28,366,87463,19653,-1586,-12451,12573,-3710,16599,56105
1202,-651,-377,5432,38024,-39672,-14111,14306,-7116,16599,56105
-733,1603,12,94665,-38635,2075,-15661,29528,-12145,16599,56105
-551,323,-861,76721,10437,-33386,-12048,39196,-13720,16599,56105
-1445,435,-602,200805,49194,-57861,-9558,36901,-1501,16599,56105
-634,-268,-230,179077,-127014,32043,-14697,34216,256,16599,56105
-1094,1093,307,8666,-24230,8239,-17102,37902,-927,16545,56227
-1001,9,-125,-10742,2441,-23620,-17687,28601,-7043,16545,56227
-985,296,-107,-81848,150695,-28503,-16918,25781,-14270,16545,56227
-654,-381,241,-175170,-69213,43579,-13647,38928,-22827,16545,56227
-954,67,-104,-129516,74523,19531,-9533,29846,-3564,16545,56227
-1152,-419,-372,156005,83374,1098,-7922,31774,-5847,16545,56227
-842,-225,884,-100280,115356,-63903,-16503,36987,-8898,16545,56227
-571,-167,-2198,-10742,-45776,-77880,-17053,26049,-10034,16545,56227
826,465,-50,-75561,98022,-5004,-15368,27600,-16809,16545,56227
-1329,-437,145,-80078,75561,14526,-11840,37219,-20715,16563,55068
-1334,71,-364,306335,89416,-1098,-8911,28527,-9594,16563,55068
-1474,-40,-158,-63842,-202819,-17639,-10131,31542,-9106,16563,55068
-311,-790,505,-41564,-41564,-32165,-15844,38037,-11364,16563,55068
4,335,-1084,80139,-61462,-48522,-16162,27990,-12402,16563,55068
-424,67,8,-26977,67810,-1708,-14599,28466,-20312,16563,55068
-1489,407,198,-165344,91796,19165,-9362,41210,-21069,16563,55068
-898,-664,250,262573,67932,-7080,-5761,37622,-6237,16563,55068
-1384,12,-265,152465,-157165,-4577,-8410,34484,-5456,16563,55068
-218,-648,364,-59265,70861,-81848,-14587,35913,-3515,16563,55068
-55,124,-747,82458,-26794,-33264,-15112,28112,-12304,16563,55068
-1461,142,41,-116027,-21789,57434,-12329,30004,-20617,16563,55068
-442,49,-54,-69885,96313,-20996,-11999,36828,-22998,16563,55068
-940,-347,-431,201599,-36193,-55175,-5200,29650,-10217,16563,55068
-1128,-174,2060,-48583,-92346,47851,-11840,32604,-6701,16563,55068
-169,-654,-706,33020,-7568,-54809,-14587,35290,-4528,16563,55068
-873,104,-20,177368,-22460,15563,-15771,28674,-14050,16563,55068
-3999,236,321,-104736,39916,58532,-11975,25439,-19982,16563,55068
-953,1019,147,47241,76599,33630,-11926,29626,-20739,16563,55068
-1319,-436,-362,210693,-11901,-2136,-6774,29309,-8874,16563,55068
-1928,-474,-156,86547,-17333,-9582,-15148,26354,-8312,16563,55068
-221,-783,563,-62927,-112609,-77880,-14953,30981,-7543,16563,55068
-2852,-96,226,153625,5554,71960,-15173,26623,-14611,16563,55068
-1214,-310,132,-146911,76110,6896,-12683,20483,-13452,16563,55068
-1197,-222,-483,-12268,3356,-12145,-9436,25207,-21325,16563,55068
-904,-406,135,141357,44921,40344,-6726,29663,-13195,16563,55068
-1391,-727,-468,-28259,27343,-8728,-15344,21508,-10412,16563,55068
-1133,-567,-160,-42480,-166809,-78369,-15954,26391,-5224,16563,55068
-145,-266,-147,98510,26794,50598,-15490,27636,-13842,16563,55068
-3207,-138,48,-142639,74646,-8911,-13098,20068,-18371,16563,55068
-1083,375,-375,-121459,20446,-9399,-6079,16284,-18054,16563,55068
-770,-638,60,176025,119323,16540,-9020,25610,-12158,16563,55068
-1921,-92,-477,-47424,7263,-60241,-14147,17724,-10144,16563,55068
-1369,-100,503,46081,-33874,-11047,-12402,14709,-9265,16563,55068
-186,-120,23,97717,-7324,50659,-10498,19226,-12268,16563,55068
-2587,-765,16,-130615,-39062,-20446,-12695,15722,-15539,16563,55068
