xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
-952,-101,-177,-4760,-17578,-10192,-6652,41516,13464,20657,44332
-999,-233,-119,-109619,64208,9216,-6799,46508,-4345,20657,44332
-984,32,-71,-40466,-26977,47363,-4235,50622,-5749,20657,44332
-1000,-438,-126,-60180,-82458,61828,-1831,51953,5871,20657,44332
-1089,-523,738,72631,-66040,36499,-3894,51794,16992,20657,44332
-1286,-512,-388,488,-35705,-38696,-5773,47644,20263,20657,44332
-909,-233,-382,47241,38513,-4150,-5651,45080,10900,20657,44332
-824,240,-111,84167,92529,-27343,-7421,42199,-3552,20657,44332
-170,1260,284,-83618,-9582,5920,-5334,49157,-2111,20657,44332
-1589,-1702,-16,9399,56274,29052,-2050,52514,-1831,20657,44332
-1024,-117,-79,-71777,-85693,41259,-3393,53332,14135,20657,44332
-1356,-804,-134,-1525,-51025,22521,-4577,48693,19396,20657,44332
-1803,8,-719,43518,18615,-16540,-4809,45690,14184,20657,44332
-1724,122,-446,67565,100280,-28991,-5200,41882,9069,20657,44332
-2017,84,1530,-73486,57983,-1831,-4052,42517,3918,20657,44332
-1236,-444,-1286,-75622,20690,40222,-3918,47241,2685,20657,44332
-1015,131,-20,46081,-27343,58105,-3088,49658,7324,20657,44332
-1146,-381,39,203247,-64025,34606,-3515,48596,15954,20657,44332
-1799,564,-378,20690,-34423,-19470,-3088,43920,20532,20657,44332
-1044,-75,-432,47790,-41320,-33752,-1806,35437,22070,20657,44332
-1267,-508,921,-43579,128295,-33630,-4101,34045,16857,20657,44332
-1514,-2,-449,-40405,64086,-9582,-7373,38916,14746,20657,44332
-887,-151,-454,43701,54626,24108,-7604,44140,12744,20657,44332
-904,14,-239,-35888,42114,36193,-6323,46533,19873,20657,44332
-1507,-371,176,22399,-31494,71105,-4467,41394,25183,20657,44332
-795,250,-649,33569,-50292,-30761,-1062,30847,31201,20657,44332
-429,-9,-401,36499,75622,-32958,-1501,26794,24121,20657,44332
-589,-630,1755,82641,79528,-22460,-8605,30908,19531,20657,44332
-798,-81,-313,-106018,69335,86120,-8618,42211,13024,20657,44332
-875,-109,-113,-76293,-52856,50964,-8544,46398,18493,20657,44332
-1475,-593,-8,279663,-89538,8544,-5273,41796,23803,20657,44332
-1282,-399,862,32653,-51330,-17944,-2148,29980,31115,20657,44332
-542,80,-353,49621,-2258,-59631,-12,24279,26489,20657,44332
-780,291,-246,-63781,89416,-28137,-9423,23339,21374,20657,44332
-1476,-400,194,-95825,61340,48156,-10937,36755,10668,20657,44332
-1012,-253,-348,25451,19592,28015,-11474,41491,17968,20657,44332
-1225,-311,91,150146,-64208,28991,-6555,35009,23095,20657,44332
-1772,-27,166,50354,-71655,-17028,-2685,27050,30212,20657,44332
-937,151,-484,75500,71777,-42419,-5664,21875,24670,20657,44332
-2227,164,-485,-60729,88256,-29052,-8312,30310,14123,20657,44332
-1220,-1124,2167,-77819,5676,16174,-10278,37695,12927,20657,44332
-950,-132,-146,-59082,-36743,22949,-8923,41784,13745,20657,44332
-1793,-790,359,-17089,-88256,41076,-4650,32104,30358,20657,44332
