xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
54,133,995,61,2258,-549,25817,41247,-11950,36400,25866
1,11,960,8789,427,671,26000,40783,-11010,36400,25866
-5,122,980,7141,732,732,26245,41149,-11145,36400,25866
-4,105,970,-2990,-549,61,25817,41699,-10998,36400,25866
19,90,979,-3723,0,-915,26037,41552,-9765,36400,25866
10,55,979,-610,915,-7141,25769,41186,-11181,36400,25866
25,30,972,-4821,8728,-427,25329,42187,-10302,36400,25866
20,84,976,-4333,3479,4943,25341,42236,-11352,36400,25866
3,46,977,-3723,366,122,25671,42041,-11315,36400,25866
21,68,986,-854,427,-122,25683,41723,-11608,36400,25866
41,-25,977,-2197,-427,1464,25671,41772,-11657,36400,25866
47,-5,985,-1892,488,-915,25952,41772,-11157,36400,25866
26,36,980,-1892,1525,-366,25549,41784,-11560,36400,25866
5,25,985,-732,2197,-1098,25695,41198,-11804,36400,25866
10,44,985,-549,2136,976,26159,41406,-11254,36400,25866
11,19,979,-122,1403,366,25988,42016,-11425,36400,25866
10,41,982,-4699,549,1953,26721,41369,-10546,36400,25866
17,32,984,-1159,-61,-2014,25988,41625,-11242,36400,25866
3,35,976,-732,3295,-793,26440,41101,-11169,36400,25866
18,11,972,-2685,3662,2258,26745,40686,-9960,36400,25866
3,48,979,854,5615,2624,27380,40917,-11193,36400,25866
14,54,973,-4516,4760,-2990,26818,41357,-11035,36400,25866
11,34,982,3601,3112,1953,26672,41284,-10766,36400,25866
22,31,909,-2136,-305,976,26220,41503,-10058,36400,25866
26,18,990,-2685,2563,-4333,26708,41345,-10693,36400,25866
49,23,976,-2319,4150,-3967,26513,41137,-10778,36400,25866
54,44,981,-4333,4516,-3356,26293,41125,-11425,36400,25866
75,33,946,-671,915,1281,26623,41662,-10803,36400,25866
13,75,982,-3601,5371,3417,26184,40869,-11596,36400,25866
26,45,990,-3967,305,-854,25976,41149,-11291,36400,25866
59,10,989,-3479,-2929,183,26257,40869,-11669,36400,25866
48,17,969,-1892,366,1098,26452,40844,-11560,36400,25866
58,47,984,-2014,-610,-976,26257,40637,-11022,36400,25866
24,29,979,183,305,1586,26049,41394,-11865,36400,25866
36,34,974,-3356,1586,488,26489,41125,-11633,36400,25866
17,37,978,-1892,1464,122,26440,40319,-10119,36400,25866
27,37,976,-4577,244,-1220,26184,40869,-10888,36400,25866
14,56,983,-1525,1892,0,25915,40966,-10839,36400,25866
15,66,984,-2746,1098,305,26647,39965,-12097,36400,25866
13,59,971,-2136,1708,2258,26940,41101,-10632,36400,25866
13,68,970,-1281,2685,915,25854,40759,-10693,36400,25866
