xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
-804,56,-406,-976,-15930,22949,-6311,53137,6677,19088,47592
-604,56,-239,46630,-22094,-28442,-6896,50854,21984,19088,47592
-536,190,1035,40466,1708,-24353,-6262,46777,15124,19088,47592
-1218,-735,326,-5920,-25695,-46936,-7836,41979,9387,19088,47592
-674,-546,-1861,-113159,41137,-37292,-6848,38183,-2856,19088,47592
541,1083,-196,10375,78063,57128,-5529,42968,5236,19088,47592
-1125,-713,-171,189941,79956,27343,-6225,50463,14807,19088,47592
-917,-382,144,73059,-29296,7690,-6555,52514,23388,19088,47592
-1926,-327,-386,26733,-81176,-25573,-5334,50341,14294,19088,47592
-1423,146,123,-72570,-67687,-50598,-6762,45019,12634,19088,47592
-278,-175,-373,-119323,7324,-36437,-5676,38171,-1806,19088,47592
-269,-653,-135,-33874,76293,48156,-4736,43493,610,19088,47592
-1661,-152,-164,134216,45471,35888,-6420,51184,10778,19088,47592
-960,-254,483,183,-32409,671,-5249,52868,16845,19088,47592
-1229,-50,-333,45349,-62561,-33813,-7336,53234,19604,19088,47592
-1896,231,-340,-135009,-65490,-45776,-6787,50085,10437,19088,47592
-842,341,438,-64270,-52734,-28869,-5395,41650,8007,19088,47592
-733,-157,-132,-13000,87524,-16296,-5310,41369,-1000,19088,47592
-1394,-111,172,65368,67382,36315,-7470,48437,11828,19088,47592
-1011,-21,-826,12390,36376,32409,-6713,51965,15673,19088,47592
-852,-345,-358,75012,-70007,19470,-8850,52600,21105,19088,47592
-1392,83,329,-78369,-55541,-62011,-7153,49511,13635,19088,47592
-703,158,-545,38696,-46264,-35705,-4919,41394,6921,19088,47592
-326,-491,-66,-23864,139831,-29968,-1623,39672,-4248,19088,47592
-309,-98,-152,-93566,67687,85449,-4602,46081,8764,19088,47592
-1098,-214,432,94116,51025,40405,-4980,52941,11096,19088,47592
-875,-718,-408,77209,17944,59143,-4150,54235,21679,19088,47592
-1587,189,1621,47058,-51940,-35156,-3881,50964,15417,19088,47592
-1152,262,-1612,55786,-12329,-26306,-1696,45983,12219,19088,47592
-255,-813,-81,-56579,41687,-28259,1367,39978,10327,19088,47592
-418,-437,-152,-12329,63781,80322,3088,43530,10656,19088,47592
-870,-186,503,208190,65063,20874,3356,48303,19714,19088,47592
-891,-286,-342,106811,-75622,23986,4882,49340,25354,19088,47592
-1681,-80,-423,87585,-89843,10375,280,48498,25341,19088,47592
-1599,408,371,25512,-50842,-41259,-4492,35424,21752,19088,47592
-597,95,-361,-41015,-16052,-16784,-6420,30383,17993,19088,47592
-1241,-633,-96,28991,145446,41748,-4785,22570,19653,19088,47592
-1401,-348,90,39123,56823,72570,-1892,25500,21667,19088,47592
-922,-504,-788,13366,-11535,40344,1208,29711,25695,19088,47592
-1029,428,-300,92651,488,12145,2868,30871,25805,19088,47592
-1448,-750,262,6591,-91979,-25695,-3479,20727,23352,19088,47592
-1083,-74,-1141,-38330,-43640,-36376,-6921,15734,15368,19088,47592
-809,77,-170,-135742,5126,-10620,-6420,10498,16381,19088,47592
-2557,-466,-143,-46875,134399,30822,-3723,12927,16564,19088,47592
-1343,-103,-387,145446,21240,67993,732,21069,21325,19088,47592
-998,-169,-350,-14709,-13671,38635,3674,24523,23730,19088,47592
-1148,-106,-412,12023,-61584,-14892,-146,23388,19921,19088,47592
-1285,-10,-515,-62377,-44128,-28869,-4541,18676,15795,19088,47592
-509,-1003,-1463,-67321,-59814,-39978,-5371,12939,14038,19088,47592
-1385,-544,1,-40527,76843,-39123,-3576,15307,14636,19088,47592
-1123,-946,484,159912,58654,-2624,2416,20788,19628,19088,47592
-896,-343,-635,3295,13244,42663,5541,26879,21545,19088,47592
-952,-346,-365,77270,-93444,4943,-1696,29028,23522,19088,47592
-1730,108,370,-97961,-64575,27038,-4248,22216,21679,19088,47592
-452,392,-872,-106994,-55114,-38757,-5627,16638,19567,19088,47592
-465,-271,-92,-34240,-24291,-27038,-4150,16369,13940,19088,47592
-1029,-201,238,-30334,154968,21911,-988,24804,12963,19088,47592
-946,-158,229,18920,56335,102172,5224,30932,15332,19088,47592
-860,52,-483,71411,45776,40161,-354,34326,27062,19088,47592
-1350,-1074,1067,-78674,-2197,-22644,-4602,27172,26989,19088,47592
-1365,75,-140,-78430,-63171,-10437,-6567,21765,20458,19088,47592
-1234,699,6,-113220,-37170,-26062,-6591,24645,15319,19088,47592
317,-1207,643,169372,20690,-29541,-2307,33630,14794,19088,47592
-1650,92,-649,-16601,56640,-5920,2978,41064,28442,19088,47592
-1034,-815,-364,99121,12268,52978,-2685,45593,32031,19088,47592
-1196,-319,368,-42175,-10131,122,-10498,35754,36010,19088,47592
-454,-78,-860,-93078,-65612,43579,-10729,32934,32043,19088,47592
-985,-393,-113,-8911,-66772,-28320,-9899,22509,25683,19088,47592
-726,295,86,-72326,-44067,-24475,-6652,26904,20971,19088,47592
-954,90,-801,202392,110839,-19165,-4431,40698,15954,19088,47592
-975,-536,-398,107604,65856,47729,-2404,43518,22229,19088,47592
-1122,137,1580,37902,40893,39672,-11364,36132,27087,19088,47592
-843,45,562,37231,22766,59326,-13098,28686,30126,19088,47592
-365,-1096,-136,-78613,-89599,-305,-12622,19445,22290,19088,47592
-2819,-2132,23,-33813,-45043,-32958,-12426,24975,20141,19088,47592
-1618,-114,72,21057,59997,-25939,-11645,32006,16723,19088,47592
-823,-283,-416,7507,66223,59692,-10998,34558,15393,19088,47592
-1673,-470,98,15014,49743,25268,-11596,37072,17675,19088,47592
-1276,15,643,27404,-15991,610,-11816,35852,22253,19088,47592
-579,-61,-91,49621,-20874,36254,-12377,34777,21667,19088,47592
-1242,-506,-1,10742,-17700,3356,-11779,33020,22631,19088,47592
-1772,-250,-24,23681,8605,-3417,-12170,29211,20458,19088,47592
-981,-343,-44,99731,29968,-6591,-12121,27758,20068,19088,47592
-967,-576,43,102478,-2624,-17456,-6665,25549,19885,19088,47592
-989,-41,37,-6896,7080,4272,-8911,20971,16845,19088,47592
-1164,-290,-31,-57312,10131,-18920,-8911,17456,22033,19088,47592
-984,72,-14,-3479,1831,-8300,-8374,13952,23449,19088,47592
-1053,-58,-326,4760,-63537,17028,-8740,13378,17834,19088,47592
-1040,-15,196,12878,-66711,-14526,-8178,14331,19323,19088,47592
-851,-181,-300,76965,17578,7995,-10192,13781,17614,19088,47592
