xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
-574,-1039,-995,-355834,-75622,39489,-14086,43664,22766,19449,56750
-3999,-962,490,-398437,-193908,-4516,-10559,37951,24243,19449,56750
-1765,632,-307,104919,28259,-67016,-10961,55773,17614,19449,56750
1171,393,-124,-68115,-2136,-20202,-12268,41699,-5322,19449,56750
386,512,-206,35217,-59936,-86669,-14245,46765,5920,19449,56750
-1152,803,-165,-14831,105834,167297,-15393,36914,20129,19449,56750
-3281,1278,79,-208496,88378,-174499,-11718,38195,15637,19449,56750
-3618,-3275,-2320,-163024,-124572,-87402,-15576,55712,5810,19449,55741
635,-834,252,72998,-270874,5004,-15881,50354,1440,19250,55741
-2114,-1396,-265,375000,-309753,-101257,-15612,47302,5712,19250,55741
-102,498,127,-24719,42419,25146,-12683,44409,17187,19250,55741
-1225,1769,980,-1342,215393,-118652,-14208,30895,11840,19250,55741
-3425,-820,2950,-349792,77819,-190612,-14697,41406,7153,19250,55741
-1060,-953,-9,-73120,36132,9582,-11035,55004,-13000,19250,55741
-1080,-868,-654,175903,382568,6896,-11096,50256,11132,19250,55741
-2021,-447,-596,185180,39672,-74340,-9973,47595,21362,19250,55741
-813,1783,1024,5249,282592,-115112,-12744,38049,13171,19250,55741
2446,-1901,-1467,-247863,-107849,152099,-11853,35510,-1879,19250,55741
-2137,-1710,498,109375,-1770,-56274,-7543,40979,9680,19250,55741
-589,-745,419,307800,-28991,67504,-8056,52343,22241,19250,55741
1332,1739,-825,177551,12878,-89172,-6103,43664,23864,19250,55741
-2537,-1650,-3894,-100341,125183,-34545,-10717,49267,5273,19250,55741
100,-155,259,-238952,-218994,5187,-14465,39978,12707,19250,55741
-207,-22,1205,120544,330139,-73364,-12646,33520,16101,19250,55741
-2711,443,136,41442,-47180,129760,-3100,48449,29260,19250,55741
-97,108,3823,114868,92895,45898,-5432,44763,25366,19250,55741
-3655,-1002,-1339,-287658,-216491,-132019,-11145,32336,11145,19250,55741
-3999,-713,-24,157897,359436,-4638,-15356,18945,15332,19250,55741
512,-1428,195,149597,106933,49865,-16320,37609,24645,19250,55741
379,185,-866,153564,81237,-77392,-10241,32946,21923,19250,55741
-1518,347,-924,21972,-174682,33874,-5395,32177,18664,19250,55741
-3999,-997,-1348,-295837,-219665,-143371,-8129,13842,8715,19250,54407
446,207,80,70251,-113525,-27587,-19409,13366,21960,19070,55965
-675,-768,522,-7629,77575,154235,-16735,20336,24768,19070,55965
172,108,-20,-86425,-7141,-91857,-12121,25537,22888,19070,55965
-2143,40,1700,-32714,66040,76721,-6066,26855,13500,19070,54720
-2263,-521,-40,-212707,-164245,-112182,-10510,16003,15051,19016,55974
-889,-43,163,10253,-146484,-91857,-18383,13366,16467,19070,55974
-1959,627,-414,115661,98999,132324,-16796,27978,23364,19070,55974
910,-149,15,72692,75012,108154,-13183,23620,19348,19070,55974
2692,-158,-3999,-34362,23742,55969,-10510,19738,17395,19070,55974
-451,-1477,1334,20385,-260192,27038,-17370,14123,17785,19070,55974
467,-1562,260,257080,29418,127929,-21057,13635,24584,19070,55974
