xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
-906,100,-414,42480,5493,-33874,-13183,29956,19958,18890,76271
-1277,235,-355,4394,-46386,-18432,-12231,36926,8361,18890,76271
-988,16,333,-102539,-2441,1953,-17407,43127,878,18890,76271
-967,268,-391,151855,33569,54382,-13964,39916,-1745,18890,76271
-816,-211,-211,-31066,163330,39428,-15637,39526,12500,18890,76271
-1220,137,634,41564,65429,45959,-16516,31970,16687,18890,76271
-1192,19,-1103,14587,85510,-2380,-14709,30371,18737,18890,76271
-1409,500,-110,5065,-196899,-52734,-14819,37866,-3076,18890,76271
-758,-49,185,-101562,-77941,-11047,-15588,44042,-4174,18890,76271
-225,454,-837,-82397,-12878,5065,-14172,44287,-5541,18890,76271
-1432,-197,-259,5737,145874,4272,-17297,41125,16870,18890,76271
-977,150,-1104,79345,63354,-2258,-15698,38378,21362,18890,76271
-760,191,-101,38330,48278,-20141,-13659,35034,22778,18890,76271
-1402,-202,-190,21728,6042,-34484,-16296,34582,5053,18890,76271
-712,687,307,-56884,40222,-18859,-17321,42712,-4284,18890,76271
-177,-90,-315,-3417,-15625,16113,-14514,42150,9240,18890,76271
-766,618,-322,4455,-46081,40588,-12817,39916,16564,18890,76271
-696,-501,2270,13000,36499,82763,-15588,36267,22021,18890,76271
-843,-20,333,36315,67138,40710,-13342,32092,11962,18890,76271
-1266,-274,-160,16540,25146,-37231,-11743,34838,5590,18890,76271
-1880,242,-104,-99060,-133056,-20446,-16223,43737,-3454,18890,76271
-282,-304,245,-90698,-66711,-31677,-15686,43200,-2429,18890,76271
-825,-1,-374,43029,19531,47912,-13012,39941,21557,18890,76271
-852,40,-90,34973,109069,40588,-14343,35229,24145,18890,76271
-843,-275,572,81481,78857,-8300,-15148,31726,25061,18890,76271
-1910,289,-348,82946,-44921,-80810,-11938,33483,1110,18890,76271
-1473,341,-175,-71228,-199707,-41381,-9741,41503,-2648,18890,76271
-424,194,-88,-89904,1403,16845,-14782,42089,13574,18890,76271
-1244,54,-393,139770,7202,52368,-15124,40869,25280,19142,76271
-1431,-200,-316,48950,149536,66345,-11999,33020,26184,19142,75169
-844,683,554,69396,25207,57067,-13305,27832,22766,19142,75169
-1249,242,-480,64514,-134521,-34484,-10632,25708,7775,19142,75169
-1566,180,-318,-15136,-192077,-21789,-7531,30407,6958,19142,75169
-864,395,73,-52734,-18737,-9521,-9545,36950,9667,19142,75169
-319,-486,-316,31799,123229,47973,-14294,37438,32653,19142,75169
-1070,-16,-298,25329,129577,51818,-15844,29309,28222,19142,75169
-1057,609,1611,3784,3784,84472,-15832,22912,15576,19142,75169
-1685,395,-810,66406,12817,-6469,-9155,20190,10791,19142,75169
-1595,87,-150,3479,-267089,-82824,-4211,22998,10644,19142,75169
-1382,947,121,-127807,-16906,-31860,-7189,29479,31628,19142,75169
-1056,-44,-734,-95275,25451,30273,-14672,32507,33154,19142,75169
-1639,121,-257,21179,105651,38146,-17578,25915,32434,19142,75169
-1069,-291,-261,77758,45410,26489,-17602,19726,14587,19142,75169
-1753,663,-646,44738,-11108,-2868,-11718,15905,12841,19142,75169
-1358,237,-362,48339,-118347,-41137,-5200,18176,11010,19142,75169
-210,489,-64,-59631,-28076,-32592,-2172,24304,29162,19142,75169
-1014,151,677,-78979,-34912,9460,-11694,29150,30273,19142,75169
10,212,-364,49682,105834,47973,-17541,24145,31115,19142,75169
-735,-12,-315,34362,60241,58288,-16259,21850,14440,19142,75169
-1302,422,32,44799,75134,12145,-13256,17004,10876,19142,75169
-1725,97,-512,53039,-23437,-11596,-7763,16259,10595,19142,75169
-170,-279,-249,-49499,-67626,-16052,-1184,21911,29235,19142,75169
-561,968,6,-45104,-79528,-18371,-9301,26281,30725,19142,75169
-2783,-508,-383,47363,12268,32104,-15917,21704,30786,19142,75169
-867,-141,-323,35949,60241,70312,-15234,16271,14709,19142,75169
-1203,-498,158,46020,58654,18127,-12500,12182,11950,19142,75169
-1919,143,-903,4089,16967,-1525,-3710,9948,12377,19142,75169
-167,-361,-214,-35949,-58166,-4150,2209,16198,28381,19142,75169
-808,1053,254,-58898,-17150,-32714,-4699,22570,30212,19142,75169
-2482,-657,-453,185852,2990,40893,-13928,22033,29577,19142,75169
-1015,-409,-326,-244,83374,32226,-15722,18237,18933,19142,75169
-1164,-179,433,-43945,3784,39978,-13732,13488,11291,19142,75169
-1384,388,-1228,-16845,24353,-23254,-6030,9301,11401,19142,75169
-250,-75,-101,23315,-91796,-77026,2734,12634,27429,19160,75169
-793,3,-223,-147033,-17944,-34118,976,22351,28930,19160,75169
-638,499,-923,1770,-20141,-1708,-9289,24133,29992,19160,74081
-918,-40,-376,11657,148071,43762,-16833,17858,26049,19160,74081
-962,-109,1359,75439,69580,26794,-17053,11877,17919,19160,74081
-1231,519,-1300,22338,15380,26245,-6848,8850,14453,19160,74081
-553,497,-252,52978,97045,-45532,-2075,10766,13293,19160,74081
-69,-658,185,-61096,-139099,-25756,-1330,14697,29357,19160,74081
-2305,375,395,101989,-68176,-27954,-13732,23742,29980,19160,74081
353,222,-282,30029,52429,79345,-16955,22802,31372,19160,74081
-879,-462,700,8850,134399,21057,-16955,16406,18713,19160,74081
-774,85,-371,-22338,85388,11474,-6799,11242,11840,19160,74081
-1810,314,-204,49133,4760,-77819,-305,6457,12500,19160,74081
-1535,-483,-234,-129455,10192,-36132,-4699,8471,22033,19160,74081
-297,670,-844,-124267,-59082,2075,-10607,17578,26623,19160,74081
-1928,-86,-359,170227,-24963,50842,-18078,20581,22961,19160,74081
-960,-303,377,44494,-18737,12023,-17065,20446,16992,19160,74081
-945,-22,-371,70800,102966,-40649,-12951,10107,5212,19160,74081
-1181,814,-244,9460,16296,-31494,-5749,3234,5725,19160,74081
-1219,330,148,33874,-72692,-18859,-1135,2734,9375,19160,74081
-480,956,-243,7568,-167602,66711,-8703,9362,15039,19160,74081
-123,-223,-176,14160,-48461,67626,-14575,13464,13720,19160,74081
-819,45,1355,59692,72143,89111,-17761,11108,14208,19160,74081
98,1093,-472,57739,158081,13183,-14489,6054,-6884,19160,74081
-1194,401,-264,16540,13366,-67810,-4626,1623,-6799,19160,74081
-1224,-56,129,-95886,18920,-18920,-7275,-1501,-4223,19160,74081
-1492,962,-767,-117858,-231689,-26123,-10986,8654,1635,19160,74081
-1163,-126,-297,157226,-39306,16540,-11938,7519,7226,19160,74081
-1375,203,-175,36437,-49377,60974,-11437,6823,5664,19160,74081
-2029,116,498,43518,104492,49133,-13403,4516,4431,19160,74081
-1839,9,-207,-2624,34851,18554,-11364,988,-12084,19160,74081
-911,540,-331,-1525,-180542,-55664,-8581,158,-9252,19160,74081
-1242,165,-140,-99731,-93872,-27832,-8959,5920,-7177,19160,74081
-463,177,-677,-75378,-49560,-9033,-10803,8874,3381,19160,74081
-857,69,-479,68481,-41625,35156,-9973,6848,5993,19160,74081
-1080,345,-197,10437,178833,48095,-9436,4956,5871,19160,74081
-777,106,80,31555,65734,22827,-10937,2612,-6530,19160,74081
-1146,-344,-407,20507,25817,-7507,-10278,952,-11865,19160,74081
-1821,326,-218,-18493,63720,5371,-6616,1794,-9631,19160,74081
-1256,401,-195,-84899,-34240,1770,-8508,5175,-2539,19160,73075
-272,-217,-676,-29724,-64208,-24658,-10522,8276,6103,19178,73075
-1220,627,-473,68847,-24353,5065,-11157,5773,5346,19178,73075
-1307,-497,629,26489,99304,42114,-11926,2526,4272,19178,73075
-952,26,171,34667,69274,43762,-10314,1342,-3308,19178,73075
-959,-261,261,11962,-49621,9887,-8728,-2490,-9057,19178,73075
-1204,514,-14,30578,-263854,-29663,-5957,-964,-6555,19178,73075
-778,367,-269,-10070,-34973,-14953,-8349,1831,-2355,19178,73075
-334,-251,-650,-31372,-49072,-26977,-11193,5065,6103,19178,73075
-1214,435,-292,87402,139709,-14343,-11059,5187,8312,19178,73075
