xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
-945,-200,-82,-127868,55297,20874,-11315,29614,-15771,19791,46127
-1002,-115,-160,15075,46081,68725,-6762,25915,-14660,19791,46127
-1093,-409,15,-86791,-48522,40710,-6945,24841,-10034,19791,46127
-1408,-952,-605,-87707,-63110,31066,-8874,21618,-8398,19791,46127
-749,90,-416,-7446,-50231,44311,-11462,23059,-1550,19791,46127
-728,-374,-385,166625,-13671,-10986,-11938,18872,-3698,19791,46127
-2678,-280,-53,43029,146484,-40710,-11950,18298,-10607,19791,46127
-1605,-935,451,54504,75439,-11413,-9838,18444,-15686,19791,46127
-983,-1058,1038,-50048,-12329,25939,-8117,20959,-13000,19791,46127
-1015,338,-204,-89294,-38146,51696,-7812,19299,-9509,19791,46127
-1359,-213,-251,-16906,-35583,45959,-9973,20617,-3479,19791,46127
-1112,178,168,-95031,-46020,-1037,-11059,18908,524,19791,46127
-782,-583,-747,-15563,-36010,-36987,-10937,16748,-134,19791,46127
-930,41,-447,26916,10986,-44311,-10070,13916,-10217,19791,46127
-203,24,301,49438,62194,-12268,-10180,15783,-10009,19791,46127
-832,1647,-238,1098,-20996,-3540,-8593,17895,-9155,19791,46127
-1067,-29,-290,-62805,2868,15930,-9509,17602,-6311,19791,46127
-1346,-191,-191,-57800,-68359,6652,-9509,17333,-3503,19791,46127
-621,-1071,-157,17822,-38940,31127,-10644,17761,-695,19791,46127
-516,158,-516,-19775,-34729,-64331,-9619,15625,-7653,19791,46127
-1191,324,-433,37658,82031,-30456,-8679,11206,-8728,19791,46127
-999,-906,724,37292,64392,-31677,-9289,14001,-9216,19791,46127
-868,935,-170,15625,-11962,-305,-9301,15441,-4650,19791,46127
-994,-192,-411,-79528,-49743,27465,-11242,17102,-4223,19791,46127
-1385,-528,-70,-55908,-60729,15991,-11633,16699,-805,19791,46127
-613,-1324,-96,18432,-26977,35583,-11096,15710,3735,19791,46127
-486,2,-651,-24597,9460,-46325,-10693,12145,-3027,19791,46127
-140,279,-383,-10803,89477,-30029,-9167,9423,-5334,19791,46127
-908,-697,423,68725,82031,-26367,-10229,12109,-5944,19791,46127
-920,-174,-487,-54687,11962,34240,-9265,15661,-3503,19791,46127
-1071,-210,-63,-56335,35217,65612,-11193,17187,-3698,19791,46127
-1596,-641,24,21179,-77331,20751,-12548,17639,1000,19791,46127
-1028,433,11,-64147,-43884,-19409,-11450,13720,3723,19791,46127
-1303,-227,-335,27709,-7324,-12512,-10925,11999,2709,19791,46127
-1513,145,-396,4333,79162,-22094,-9448,9631,-7666,19791,46127
-1559,750,1235,38940,27709,-16479,-10937,11791,-6298,19791,46127
-968,-766,-895,36499,-1098,35095,-10217,15454,-4333,19791,46127
-1130,-96,-50,-42419,-44982,79101,-12829,16223,561,19791,46127
-1399,-390,-138,-61035,-43579,34057,-12402,15551,2795,19791,46127
-432,-301,1202,180969,-56213,9399,-12158,13391,5505,19791,46127
-1712,-433,260,1770,-39611,-30273,-9594,11840,-3613,19791,46127
-866,-680,-386,1464,68847,-28320,-8850,8117,-6726,19791,46127
-976,-217,-62,11230,47363,-21301,-10278,12658,-5700,19791,46127
-1013,-389,-1205,-6469,-23315,20141,-11279,15344,-1965,19791,46127
-1032,-173,-83,-69824,-84411,44860,-12951,17333,1403,19791,46127
-1296,-332,78,-38513,-49499,3173,-12536,16857,3210,19791,46127
-455,-801,514,139831,-43395,23437,-11499,13549,6140,19791,46127
-552,4,-41,7629,5126,-28015,-9570,8532,2661,19791,46127
-1310,153,-216,21423,132812,-30517,-11950,13366,-9362,19791,46127
-967,-258,-27,-70556,20812,-10681,-10534,15014,-6689,19791,46127
-862,98,-1255,-66162,-19287,34912,-13513,15576,-4663,19791,46127
-1122,-148,-150,-43090,-57434,65734,-12609,16284,439,19791,46127
-1628,-478,694,176940,-32775,15258,-12744,14001,3417,19791,46127
-300,282,-391,7202,-40466,-3723,-9619,10546,4406,19791,46127
-1419,-18,-391,27709,-19470,-2136,-10437,9985,-6823,19791,46127
-1970,-778,-314,-119262,66101,-35400,-10925,13952,-10388,19791,46127
-979,690,-243,-52978,8300,-12756,-11596,16174,-7446,19791,46127
-1064,-1169,0,-119689,19042,21911,-12817,16625,-2661,19791,46127
-1125,-318,370,-18432,-67810,9338,-12573,14953,2160,19791,46127
-857,-61,-664,156799,-41015,32836,-10876,12316,4272,19791,46127
-322,537,-491,15991,-53588,-18127,-8666,7519,2282,19791,46127
-1624,333,1703,15380,87402,-29479,-9777,7971,-2905,19791,46127
-1364,-717,884,-121032,69091,-26000,-11511,12329,-5187,19791,46127
-882,85,275,-90087,40466,-16052,-12414,15039,1123,19791,46127
-956,-150,-268,-31005,22888,20629,-13269,16650,2783,19791,46127
-1524,-90,54,-15441,-51147,34729,-12023,15246,4455,19791,46127
-766,-144,-571,146972,-53833,46997,-9167,10205,11474,19791,46127
-446,53,-447,41748,-5798,-7690,-6774,6872,7336,19791,46127
-2528,54,1448,22094,99121,-32897,-9545,6079,3137,19791,46127
-1257,-617,445,-154357,82946,-24536,-11291,14282,3503,19791,46127
-940,-1165,-151,-97656,45898,24780,-12414,15588,3405,19791,46127
-1172,-139,-213,-60729,9338,84472,-12402,18518,5688,19791,46127
-1456,49,-148,30395,-67382,41625,-11047,12573,13049,19791,46127
-1226,428,-263,26977,-51879,-35766,-8178,8630,14111,19791,46127
-1728,-252,-449,18493,27770,-17517,-7299,5651,9497,19791,46127
-41,59,1742,31738,128967,-28808,-9777,9362,3857,19791,46127
-1778,1308,-728,-91918,20385,-13977,-11779,15222,5664,19791,46127
-1045,-870,-25,-114562,13977,26733,-14782,18273,6958,19791,46127
-1169,-150,114,-24841,-26672,45166,-12878,18017,15136,19791,46127
-1375,-469,-240,224853,-15441,42053,-9594,12512,17297,19791,46127
-367,139,-525,-10131,-53405,7080,-4089,9863,18701,19791,46127
-1322,26,-440,12329,-40832,-7751,-5664,6970,11975,19791,46127
-1555,-891,460,-93994,66894,-29174,-9265,11425,7629,19791,46127
-943,-420,-812,-94970,5920,-17089,-13610,17480,9692,19791,46127
-1004,-783,-57,-75927,549,26000,-14257,23754,14123,19791,46127
-1124,-158,427,-22460,-64575,27587,-12353,20019,19042,19791,46127
-985,67,-628,194580,-32958,17395,-6079,14782,20446,19791,46127
-402,113,-514,10742,-54687,25390,-3125,8081,17712,19791,46127
-1552,141,1249,28747,87524,-30151,-6115,8068,13916,19791,46127
-1475,-388,217,-175292,55480,-22216,-11889,13256,9851,19791,46127
-974,-384,104,-107910,32226,-12573,-13159,23071,15307,19791,46127
-933,-206,-176,-16357,-116821,18920,-12451,26464,17150,19791,46127
-1552,-23,211,7934,-91125,39123,-9436,22900,20507,19791,46127
-858,-77,-775,145935,-33386,47180,-5517,12536,25817,19791,46127
-265,187,-458,20202,-10009,7873,-2124,8984,20812,19791,46127
-3999,39,1304,32958,94055,-33996,-9973,10876,16796,19791,46127
-1416,-1212,3664,-122619,62744,-20141,-12878,21447,14440,19791,46127
-825,-1530,-36,-146850,-17761,31066,-13342,27990,14990,19791,46127
-1201,284,-125,-43090,-41992,52856,-11254,30700,18457,19791,46127
-1732,56,-107,-15686,-43762,30029,-7202,20507,26855,19791,46127
-974,146,-643,-4699,-44006,-39367,-1855,14733,27612,19791,46127
-1291,-374,-488,36682,52124,-25817,-3857,12414,24169,19791,46127
181,223,664,56701,91430,-29663,-8752,22595,14624,19791,46127
-1192,1186,-217,-83068,3601,2807,-10241,28552,12719,19791,46127
