xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
-1278,-182,-518,51391,76965,5126,-14624,8911,-2294,20440,61982
-748,-128,-320,-85754,81726,-60424,-10205,3991,1818,20440,61982
-959,-358,127,-142272,16357,-976,-13781,12658,1489,20440,61982
-1577,-121,-517,-79406,-127319,-20751,-13037,11547,-4577,20440,61982
-572,311,-523,159301,-47119,-10314,-10742,7067,-9375,20440,61982
-273,1520,-124,-4394,31799,59265,-13342,8581,-5871,20440,61982
-1139,245,-917,78308,106872,1708,-14099,8605,-5761,20440,61982
-1329,-3,-237,199890,54809,9216,-9631,3649,1281,20440,61982
-834,-340,-214,-131164,32165,-16601,-12988,9912,1379,20440,61982
-1479,764,365,-107116,36499,49499,-12841,10595,-646,20440,61982
-1540,43,-64,189147,-52734,-31433,-11914,6994,-9826,20440,61982
-145,125,-253,47668,-7568,51391,-13183,7104,-6652,20440,61982
-702,40,27,-9216,82763,89599,-16320,10900,-6079,20440,61982
-1058,-128,-534,-28991,86181,-10742,-11389,6506,-268,20440,61982
-893,-507,24,-87646,7324,-31860,-11096,5480,2246,20440,61982
-1285,-371,172,-117675,-57739,32226,-15820,13146,1086,20440,61982
-1672,-154,-373,-5981,-34606,-52551,-12561,8850,-8312,20440,61982
-66,-84,-427,55541,-55419,-16601,-11901,5322,-11083,20440,61982
-2893,359,646,57067,31311,75805,-16040,9692,-8105,20440,61982
-2191,-386,-171,-25573,80078,-13977,-11682,6713,-97,20440,61982
-681,-328,-382,16052,183,13244,-11621,3198,1538,20440,61982
-1069,-365,261,-118103,49987,17761,-13757,10778,2502,20440,61982
-1360,249,466,28686,-61706,-53344,-12829,10168,-6848,20440,61982
-471,126,-439,92773,7812,-34240,-11987,6225,-9094,20440,61982
-314,-273,1454,23559,-36132,59875,-13452,8569,-7897,20440,61982
-697,112,-1077,-7568,-9704,8789,-12268,8557,-2954,20440,61982
-757,57,-49,210449,86975,6347,-9899,2770,1623,20440,61982
-825,-387,-223,-148681,-6713,-12451,-11633,6738,2368,20440,60961
-1156,177,237,-107421,-170410,-26977,-13549,10754,-6579,20224,60961
-930,225,27,230529,-41809,-58349,-12634,6213,-8520,20224,60961
-143,-260,30,56518,-41625,15319,-12927,6347,-8764,20224,60961
-1613,152,514,66284,23254,5310,-13623,9106,-5163,20224,60961
-908,-162,-597,-66955,122924,-7141,-10241,1391,2783,20224,60961
-983,-212,189,-36315,25939,1281,-10192,3491,2160,20224,60961
-1133,-506,109,-30273,-104614,-50842,-12695,10815,-3491,20224,60961
-1459,208,-312,167602,31188,-57983,-11096,6298,-7165,20224,60961
-197,339,-188,64575,-7751,-16845,-10205,4895,-8422,20224,60961
-217,104,859,12023,64086,-8300,-11938,8337,-4638,20224,60961
-1102,-152,-698,-44555,100585,10375,-9521,2307,-134,20224,60961
-762,110,-55,-100646,67443,35705,-9265,1867,-1391,20224,60961
-900,-432,-15,-61645,-110412,-32470,-13391,8251,-4309,20224,60961
-1488,221,-102,-8728,-9765,-45227,-12939,7507,-7531,20224,60961
-444,147,-283,100219,-15502,-33874,-13317,8422,-6384,20224,60961
-115,-160,1266,40588,143859,22216,-14746,9887,-3723,20224,60961
-209,51,580,-2319,-2319,19042,-10595,3637,1782,20224,60961
-916,-200,-243,188598,109313,6835,-9057,1452,1110,20224,60961
-788,-73,168,-70007,42297,-17517,-13781,8044,-329,20224,60961
-1438,-159,97,-12084,-142578,-31005,-13305,10095,-7543,20224,60961
-742,157,-336,143981,-23559,-48767,-13159,8715,-6225,20224,60961
-143,-405,181,-19897,69519,62011,-16003,8081,-3674,20224,60961
311,103,362,78735,4211,-8117,-13659,7397,-3063,20224,60961
-1098,-267,-546,-7202,90393,671,-9924,2160,2343,20224,60961
-823,-431,168,-76049,-54992,64636,-13732,4833,1794,20224,60961
-1663,-5,58,-21972,-275756,-56640,-13415,11071,-3381,20224,60961
-1454,152,-372,193237,31799,-61096,-13684,9484,-7690,20224,60961
-456,145,-127,14770,21606,53894,-17358,7250,-8972,20224,60961
-2706,-380,1150,72998,71350,44494,-16564,12292,-8508,20224,60961
-2154,-52,-363,29357,-5676,5859,-14758,9289,-2600,20224,60961
-904,160,-208,-65734,62438,-29052,-13464,10266,-1989,20224,60961
-1294,487,43,21728,-117980,57067,-14404,21118,-6982,20224,60961
-1519,-157,143,-11108,-137329,-34240,-10583,16943,-13903,20224,60961
-788,147,-278,53100,-25939,59265,-10998,16601,-18237,20224,60961
-245,839,1556,35888,117675,42297,-18505,29089,-19604,20224,60961
-678,-31,-690,94360,22460,-5554,-18920,27600,-17980,20224,59888
-555,-212,-147,29418,-5065,5249,-17370,25366,-5493,20170,59888
-1092,774,63,-86730,63415,53100,-15136,36096,-3674,20170,59888
-1635,303,401,-49255,-255798,9460,-13195,33532,-6494,20170,59888
-1670,-8,-479,147399,-15258,-19592,-8728,27661,-17968,20170,59888
-1674,787,-147,34057,18493,42724,-16601,35168,-20996,20170,59888
-226,18,-2626,29907,109252,76538,-18103,33837,-22241,20170,59888
-2171,9,-246,94726,78063,10559,-18029,29150,-5944,20170,59888
-948,-99,-323,-98693,17272,-21057,-16149,32580,-2551,20170,59888
-1202,19,-60,-102783,93505,48461,-12841,39135,-2221,20170,59888
-1383,-289,-280,176452,-58654,-31494,-9423,36071,-13330,20170,59888
-278,-326,-366,66223,-32470,-7873,-11010,29248,-20117,20170,59888
-1446,705,600,-21179,44128,43945,-18823,36596,-21716,20170,59888
579,-195,-444,-155273,94665,-9216,-19702,33337,-9765,20170,59888
-913,-443,174,-59631,-41748,-19226,-17236,30053,-7348,20170,59888
-1095,-673,87,-98266,-15869,-1892,-14929,35729,-5297,20170,59888
-1812,201,-410,-75256,43518,-63110,-9509,32873,-12622,20170,59888
-250,-125,-616,54321,-39489,-19775,-8605,25427,-20812,20170,59888
-1079,221,767,-17272,20446,39794,-16845,32275,-22998,20170,59888
-1164,406,-448,39062,65246,-20263,-17749,28479,-10083,20170,59888
-580,-97,-416,-85327,43518,29846,-16967,33264,-9460,20170,59888
-955,-383,69,-69335,76599,-11962,-13171,33032,-6884,20170,59888
-1170,668,349,43029,-8605,-67077,-11230,28039,-7958,20170,59888
-611,307,-340,30822,-15258,-30151,-8032,28308,-18164,20170,59888
-110,-291,-101,48095,-35888,55847,-8386,33996,-19909,20170,59888
-1163,326,198,84411,111877,79956,-13903,27880,-18298,20170,59888
-814,153,-770,-99853,65979,19409,-12268,31481,-7568,20170,59888
-882,-630,-67,-111206,45166,-7324,-10021,37744,-5310,20170,59888
-1160,29,-86,226074,-39978,94970,-8728,34936,-4663,20170,59888
-1432,-446,-131,59814,-7812,-38269,-5151,28723,-11364,20170,59888
-241,-536,-301,-2380,-18249,4699,-7067,37707,-18066,20170,59888
-1554,434,844,-70068,32592,45654,-15405,35766,-19653,20170,59888
-2692,-1014,-764,-79833,93200,-4272,-16442,33715,-8569,20170,59888
-855,-423,-179,-60241,-18127,7934,-15710,39562,-6005,20170,59888
-1154,-622,136,-1525,-2502,-4638,-14697,39501,-3344,20170,59888
-1465,126,-290,110717,36743,-54504,-9851,31506,-9655,20170,59888
-352,-178,-419,7812,-48400,-14587,-9460,41979,-18518,20170,59888
-1064,-5,1009,-41931,-19409,52612,-16992,39001,-20385,20170,59888
-556,325,-430,-23681,22949,8728,-18786,35632,-4565,20170,59888
-680,50,-498,-87707,76293,15197,-18103,43676,-1098,20170,59888
-856,-24,99,6286,46936,-9582,-15649,44433,-244,20170,59888
-1260,855,-327,138305,-77453,-58044,-12475,39477,-4785,20170,59888
-659,132,-516,3295,47546,-38452,-11010,42626,-12597,20170,59888
-126,-587,1641,10253,-24719,50109,-14587,44433,-16052,20170,59888
-1857,432,-617,35217,12878,9887,-18188,40441,-7202,20170,59888
-999,107,-260,-55175,54870,29541,-18115,44055,3320,20170,59888
-775,-567,-55,79956,-305,42968,-15930,47631,5151,20170,59888
-1076,609,609,165832,-151245,-49987,-12731,43957,1489,20170,59888
-667,164,-326,52551,-56030,-43884,-12475,46093,-6164,20170,59888
-170,-726,1069,54626,-33264,56213,-14794,46093,-12048,20170,59888
-2513,1328,-515,33996,23376,26367,-15661,39099,0,20170,59888
-980,-39,-1018,-59631,70434,19897,-16491,41943,12658,20170,59888
-824,-434,159,-72631,-4516,-33386,-16711,45288,12792,20170,59888
-1049,283,143,197692,-216857,-39367,-15441,45715,8605,20170,59888
-1043,-1,-87,20385,-32531,-52490,-13464,43225,9521,20170,59888
-218,-211,-153,38146,-44616,-27038,-13256,46020,1806,20170,59888
-1327,1043,809,-8056,53527,4760,-14953,41015,-10156,20170,58819
-1837,-144,-981,-3845,87768,17639,-15942,36096,12023,19954,58819
-919,-145,-212,-81359,67138,8911,-16076,43530,14685,19954,58819
-893,-269,148,29968,-167907,-47851,-15808,45849,14367,19954,58819
-1539,86,384,54504,6652,-44982,-13635,43505,9252,19954,58819
-403,48,-271,36621,-8728,-41748,-13952,43298,7080,19954,58819
-220,-344,1233,38513,117370,85937,-15234,45495,-8020,19954,58819
-805,47,417,167175,-4150,26184,-16491,38037,-3442,19954,58819
-1051,-209,2,-97717,118774,-9460,-16125,41369,11035,19954,58819
-890,-118,14,-99304,2990,96618,-15637,46752,15161,19954,58819
-1330,-99,-152,160095,-227233,-29602,-13195,46667,15209,19954,58819
-1009,224,-193,55725,33386,8300,-14624,44982,3601,19954,58819
-283,-340,-40,15747,-30212,52001,-14489,46044,-3356,19954,58819
-3790,-930,-184,59448,49438,-61,-14514,41540,-6481,19954,58819
-924,-214,-163,-82092,96496,-20324,-16027,40856,14660,19954,58819
