xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
69,198,948,-671,1159,-1342,26501,37609,-13708,37302,24088
70,203,940,0,2563,-854,25598,37182,-14343,37302,24088
74,226,940,2197,3540,-2319,26208,37890,-11596,37302,24088
78,251,945,-3112,2990,-2380,26611,38037,-13537,37302,24088
76,215,955,-8911,2197,427,26330,37524,-13366,37302,24088
75,206,951,183,3173,-3356,25598,37683,-11694,37302,24088
73,203,948,-1647,3784,-4455,26123,37939,-12426,37302,24088
80,204,948,1831,2563,-1953,25988,37292,-11755,37302,24088
94,189,943,-2136,183,-244,26818,37756,-12365,37302,24088
96,215,943,-3173,3417,-61,25952,37963,-12817,37302,24088
101,253,942,-732,2258,-488,25524,37512,-11425,37302,24088
91,256,950,-1586,2624,-732,26013,37963,-11608,37302,24088
104,180,950,-1220,1098,-610,26525,38220,-12561,37302,24088
108,173,950,-732,1159,-122,26965,37561,-13171,37302,24088
111,182,950,-6164,2563,-427,26611,37561,-13049,37302,24088
102,178,952,-1525,2075,732,26281,37243,-12255,37302,24088
104,198,950,366,2075,1281,26550,37438,-11450,37302,24088
103,185,940,-732,2075,-2258,25854,37243,-12817,37302,24088
105,207,934,2563,1098,0,26794,37048,-12573,37302,24088
97,203,948,-5920,1647,-610,26660,37292,-11535,37302,24088
114,170,945,2685,1525,-1403,26147,36914,-13073,37302,24088
116,188,966,7385,1159,5065,27624,38916,-12841,37302,24088
83,195,950,19958,2319,-12512,27844,38928,-10424,37302,24088
99,196,951,12634,5615,-17944,29345,39843,-6054,37302,24088
121,217,963,-27160,-2441,-7141,30041,40466,-2709,37302,24088
63,201,938,-8972,27404,-4089,30773,38989,-1196,37302,24088
152,124,938,122,17822,5798,31347,39257,-3039,37302,24088
120,259,815,-5676,17028,17944,30859,40136,-2709,37302,24088
232,119,953,-8422,15258,366,30932,39746,-3100,37302,24088
296,71,959,-1647,-3784,4028,30822,40124,-4980,37302,24088
373,21,937,-2258,-1037,-2014,30261,39721,-4052,37302,24088
258,-23,921,-2807,2990,1831,30273,39843,-3527,37302,24088
262,8,921,1831,2868,5737,30615,40026,-4382,37302,24088
273,-28,937,-6042,-2990,-1770,30822,39074,-4650,37302,24088
272,26,949,-3723,2197,-427,30920,39709,-3601,37302,24088
300,58,961,-5493,-122,2685,30456,39599,-3845,37302,24088
275,57,932,488,1892,61,29895,39575,-4479,37302,24088
300,102,927,-5004,-2319,-1586,30346,40393,-4699,37302,24088
276,54,935,-4272,-2136,-4089,29956,40185,-4577,37302,24088
273,46,938,1403,2746,793,30541,40393,-5346,37302,24088
254,19,937,-3356,1831,1464,30688,40625,-6445,37302,24088
271,0,933,-2197,2685,-1220,31018,40515,-5322,37302,24088
270,74,945,-854,1342,-1647,31347,40209,-4992,37302,24088
