xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
334,25,883,21667,8483,-14099,34313,36706,-2819,31261,48288
210,64,1003,-1892,-2380,-5920,34533,36218,-2929,31261,48288
284,-34,957,9399,5310,4150,33911,35449,-7531,31261,48288
355,41,909,-3112,6958,2685,34399,35180,-7812,31261,48288
311,-7,869,-4638,3417,1403,34448,35839,-7653,31261,48288
313,-138,1166,-4882,-12451,-305,34155,35144,-8203,31261,48288
295,-184,838,-5249,-21423,-1647,34118,35351,-7946,31225,47100
380,-116,883,183,549,488,33764,34948,-8850,31225,47100
4,-63,1000,-3967,-61,-3417,33630,35131,-8374,31225,47100
199,-141,967,-1525,2136,-3845,33740,35827,-7714,31225,47100
245,0,984,-2563,793,-427,33203,35473,-8752,31225,47100
208,-11,964,-2868,1831,-671,33471,35595,-7910,31225,47100
205,-32,954,-1708,1403,-2136,33825,35375,-8435,31225,47100
197,-75,973,-3540,1647,-1220,33947,35791,-8874,31225,47100
208,-15,965,-1831,427,-1220,33801,35473,-8776,31225,47100
194,-54,972,-2014,1586,-854,33483,35009,-7812,31225,47100
205,-37,961,-2807,671,-1708,33728,35278,-7934,31225,47100
191,-5,965,-2624,1342,-1647,34033,35144,-8496,31225,47100
199,-62,966,-1098,1464,-915,33520,35192,-8532,31225,47100
194,-6,961,-1464,1953,-1770,33740,35131,-9094,31225,47100
195,-19,967,-1586,1953,-1098,33288,35839,-7934,31225,47100
194,-11,966,-2380,2014,-1342,33581,35156,-8801,31225,47100
187,-21,970,-2258,1647,-1464,33959,34875,-8056,31225,47100
196,-18,963,-2075,1770,-1281,33374,34753,-8251,31225,47100
197,-20,967,-1098,1586,-854,33386,35168,-8886,31225,47100
195,-20,965,-1525,1770,-976,33544,35046,-9289,31225,46066
198,-15,962,-1892,1525,-1159,33178,35266,-8447,31279,46066
196,-13,964,-1220,1647,-1159,33129,35559,-9204,31279,46066
196,-16,966,-1281,1403,-1159,33215,35839,-7897,31279,46066
193,-16,964,-1464,1464,-1403,33154,35656,-7983,31279,46066
195,-18,962,-1403,1525,-1037,33569,35546,-8203,31279,46066
193,-16,967,7751,1403,-2441,34033,35400,-7458,31279,46066
194,-13,961,-7385,1098,-2197,33178,35217,-7788,31279,46066
196,-17,967,-1831,1831,-915,32592,35559,-9118,31279,46066
194,-10,951,-1342,1098,-1220,33239,35607,-7678,31279,46066
190,-17,981,-1342,1403,-1159,33520,35900,-8959,31279,46066
199,-15,965,-1403,3417,-1159,32922,35205,-7849,31279,46066
193,-20,965,-1831,1281,-1159,33996,35888,-8435,31279,46066
190,-46,963,-1892,1403,-915,33496,34912,-8593,31279,46066
193,-5,965,-1586,1953,-915,34167,35571,-8325,31279,46066
194,-21,965,-1464,2014,-1281,33972,34887,-8703,31279,46066
195,-11,968,-1525,1647,-1281,33459,35095,-7214,31279,46066
191,-10,966,-1220,1831,-915,33959,35095,-8605,31279,46066
193,-15,963,-1831,1708,-915,34155,35266,-9082,31279,46066
193,-13,964,-1464,1464,-1220,33898,35156,-8618,31387,44996
192,-15,965,-1586,1708,-1403,33410,34765,-8312,31387,44996
193,-6,965,-1281,1586,-1159,32885,35095,-7812,31387,44996
192,-11,968,-1831,1586,-1098,33886,35253,-8068,31387,44996
191,-11,965,-1342,1708,-1037,33740,35070,-8264,31387,44996
