,xa,ya,za,activity
270,171,412,878,walking
271,263,406,1048,walking
272,288,194,982,walking
273,162,-35,979,walking
274,198,-228,852,walking
275,133,-381,752,walking
276,146,-549,539,walking
277,-23,-772,365,walking
278,-23,-711,332,walking
279,-96,-958,394,walking
280,-89,-985,1094,walking
281,11,-981,1054,walking
282,67,-435,1001,walking
283,129,82,915,walking
284,150,110,844,walking
285,162,359,506,walking
286,167,490,316,walking
287,131,738,-7,walking
288,266,908,-231,walking
289,268,957,-355,walking
290,317,851,-546,walking
291,228,845,-558,walking
292,293,820,-796,walking
293,305,828,-821,walking
294,325,480,-953,walking
295,301,370,-946,walking
296,329,205,-713,walking
297,197,244,-316,walking
298,404,549,394,walking
299,343,871,575,walking
300,290,859,836,walking
301,302,627,903,walking
302,297,510,1016,walking
303,259,169,793,walking
304,248,606,683,walking
305,241,-48,597,walking
306,176,-574,134,walking
307,32,-776,-308,walking
308,71,-1026,-541,walking
309,251,-989,-653,walking
310,298,-861,-707,walking
311,310,-766,-506,walking
312,289,-670,-259,walking
313,263,-759,40,walking
314,286,-1136,502,walking
315,306,-867,870,walking
316,308,-853,816,walking
317,322,-435,228,walking
318,310,197,158,walking
319,382,807,-212,walking
320,403,947,-435,walking
321,383,900,-564,walking
322,441,753,-615,walking
323,431,767,-344,walking
324,397,697,-33,walking
325,389,948,189,walking
326,365,867,354,walking
327,346,851,745,walking
328,332,869,854,walking
329,326,453,799,walking
330,304,-112,630,walking
331,292,-460,524,walking
332,289,-675,384,walking
333,314,-814,298,walking
334,355,-887,249,walking
335,392,-924,126,walking
336,358,-939,-54,walking
337,282,-979,-71,walking
338,203,-991,233,walking
339,180,-972,451,walking
340,131,-940,568,walking
341,114,-858,817,walking
342,187,-983,927,walking
343,265,-379,641,walking
344,17,425,335,walking
